Evaluation/EpisodeMeanMaxInPlaceReward,GaussianMLPPolicy/Entropy,Evaluation/EpisodeMeanMinGraspReward,Evaluation/AverageDiscountedReturn,GaussianMLPValueFunction/LossAfter,GaussianMLPPolicy/LossAfter,Evaluation/EpisodeMeanMinInPlaceReward,Evaluation/EpisodeMeanMaxGraspReward,GaussianMLPPolicy/LossBefore,GaussianMLPPolicy/KL,GaussianMLPPolicy/dLoss,GaussianMLPValueFunction/dLoss,Evaluation/TerminationRate,Evaluation/GraspSuccessRate,Evaluation/NumEpisodes,Evaluation/AverageReturn,Evaluation/MaxReward,Evaluation/StdReturn,Evaluation/EpisodeMeanInPlaceReward,Evaluation/Iteration,GaussianMLPValueFunction/LossBefore,Evaluation/NearObject,Evaluation/SuccessRate,Evaluation/MinReturn,Evaluation/MaxReturn,TotalEnvSteps,GaussianMLPPolicy/KLBefore,Evaluation/MinReward,Evaluation/EpisodeMeanGraspReward
0.14634131681896762,5.668812274932861,0.27276953312863994,46.11192595888225,54.07048034667969,-0.007064308971166611,0.032183558669219965,0.7284394291545208,4.425048771850015e-08,0.00931228045374155,0.007064353208988905,172.0216522216797,0.0,0.9,10,138.51505142317734,1.4785934151550166,46.83902990963643,0.04110894451244416,0,226.09213256835938,0.9,0.0,0.03742367484298607,171.66584470760003,5000,0.0,3.775498694719603e-05,0.6437206675303655
0.14529273881830213,5.749350547790527,3.045701751423183e-05,0.5533129795390942,1.0700167417526245,-0.004212808795273304,0.14509838002561257,0.022503027733109,7.705688176429248e-08,0.009843937121331692,0.00421288562938571,57.02274525165558,0.0,0.0,10,1.992010455768287,0.02212310952237561,0.6510494696847091,0.14516289890129475,1,58.0927619934082,0.0,0.0,0.048024017837429614,2.3107483716061763,10000,0.0,2.7867499027195334e-08,0.0036954391562033736
0.1139494165506411,5.779637336730957,0.006094051179670145,76.14987805640853,328.2882385253906,-0.003968003671616316,0.1139494165506411,0.29218872125871187,8.487701563808514e-08,0.009627996012568474,0.003968088421970606,1037.7055358886719,0.0,1.0,10,357.30706805129296,1.2696884819060084,73.69059479986247,0.11394941655064113,2,1365.9937744140625,0.2,0.0,208.6664111756068,402.1361192278079,15000,0.0,0.29286568118465234,0.14699893755618976
0.12233467496944798,5.757353782653809,0.06689186913646784,60.79448986315314,143.3656768798828,-0.002143899444490671,0.1212411721169937,0.2526307137285543,-1.5735626135437997e-09,0.006770752836018801,0.0021438978146761656,77.95439147949219,0.0,1.0,10,304.9814100201642,1.2661376010661853,35.80979689825719,0.12229838261341093,3,221.320068359375,0.0,0.0,251.09814617063685,393.9824471020467,20000,0.0,0.0,0.10987900410863553
0.07016840787868273,5.774287223815918,0.02515451971654827,9.331511042386621,11.092676162719727,-0.003436316968873143,0.06871648695238107,0.17012969617602242,1.7166137400437265e-09,0.009324301034212112,0.0034363185986876488,91.86275291442871,0.0,0.9,10,41.47685306659947,1.0787857907645004,84.81895573941007,0.06997823213324514,4,102.95542907714844,0.0,0.0,4.56360985815019,295.78270374267566,25000,0.0,0.0,0.05067672857205654
0.13104318893765662,5.77736234664917,0.2446067321778808,55.022487413058926,15.25687313079834,-0.0035325095523148775,0.03016408471261221,0.6201641804469801,-5.388260060357197e-09,0.006544660311192274,0.0035325041972100735,3.96633243560791,0.0,0.9,10,162.65800259607505,1.9054149800862061,77.39861973012245,0.03735805637122293,5,19.22320556640625,0.8,0.0,2.0017641541249387,208.4427823856355,30000,0.0,0.002580604244670804,0.566132078347113
0.13656618816388888,5.7814531326293945,0.033321152243063326,8.619215820335693,3.846757411956787,-0.005497201345860958,0.12382564030125207,0.10964716295164097,8.487701208537146e-09,0.006848249584436417,0.00549720972776413,29.05230951309204,0.0,0.2,10,25.305455774966624,1.8299372785321795,61.931028945883405,0.12493458526800345,6,32.89906692504883,0.1,0.0,3.116795206518723,210.77742546021327,35000,0.0,5.124667939921054e-07,0.07875508462355514
0.1263572992012563,5.795471668243408,0.03573288137538046,94.99560704719278,137.87840270996094,-0.0017222976312041283,0.11347266399909543,0.31396972894199837,8.416176200398695e-09,0.006583865266293287,0.0017223060131072998,196.78968811035156,0.0,0.9,10,393.265970076514,2.15986190091423,162.9763126358267,0.11488102932907299,7,334.6680908203125,0.2,0.0,3.1950803110652153,499.4340352648379,40000,0.0,3.6746673953422586e-06,0.14895950911539965
0.10533367733752379,5.825075626373291,0.07275126661493503,118.30813374374975,445.63031005859375,-0.0005874198977835476,0.10451132556509027,0.8211716634978007,-1.6093254506799326e-09,0.009860782884061337,0.0005874182679690421,491.88629150390625,0.0,0.9,10,620.2784584611741,3.6757397478408587,297.6131307457558,0.1045415880705967,8,937.5166015625,0.3,0.0,3.085298123249616,998.3826047673302,45000,0.0,0.0,0.36154095119507246
0.06944968604016799,5.80940055847168,0.04323620534302057,19.432095342441592,6.247278213500977,-0.0029700612649321556,0.06591759843613973,0.3520709214987919,2.00271599304358e-09,0.006758991163223982,0.0029700633604079485,10.89476203918457,0.0,0.9,10,87.91610583515015,1.3857591811939847,129.76220732327815,0.06918433764155658,9,17.142040252685547,0.1,0.0,2.1531533857210094,400.99571605832267,50000,0.0,0.0,0.15103331616932833
0.13221235344828516,5.7989501953125,0.1793197615816901,63.03148014669796,8.62169075012207,-0.0016741629224270582,0.049252308601529925,0.5853020577756228,-1.1444092340440193e-09,0.006998484954237938,0.00167416175827384,19.079618453979492,0.0,0.9,10,191.59973585350184,2.481404608613881,131.89475786043968,0.059918062031220666,10,27.701309204101562,0.6,0.0,2.0855860967423916,408.6430621503389,55000,0.0,0.0,0.44066326701037123
