Evaluation/GraspSuccessRate,Evaluation/Iteration,Evaluation/EpisodeMeanInPlaceReward,GaussianMLPPolicy/LossBefore,Evaluation/EpisodeMeanMinGraspReward,GaussianMLPPolicy/Entropy,Evaluation/EpisodeMeanMaxInPlaceReward,Evaluation/EpisodeMeanMaxGraspReward,GaussianMLPPolicy/KL,Evaluation/NumEpisodes,Evaluation/MinReward,GaussianMLPValueFunction/dLoss,Evaluation/MaxReturn,Evaluation/SuccessRate,GaussianMLPValueFunction/LossAfter,Evaluation/MinReturn,Evaluation/MaxReward,Evaluation/NearObject,TotalEnvSteps,GaussianMLPPolicy/LossAfter,Evaluation/AverageDiscountedReturn,GaussianMLPValueFunction/LossBefore,Evaluation/AverageReturn,Evaluation/StdReturn,Evaluation/EpisodeMeanGraspReward,Evaluation/TerminationRate,Evaluation/EpisodeMeanMinInPlaceReward,GaussianMLPPolicy/dLoss,GaussianMLPPolicy/KLBefore
0.8,0,0.08675517097099054,2.6941300301785986e-09,0.17233804747086195,5.6934814453125,0.20072811747142674,0.4555916150403784,0.007679312955588102,10,0.0004582621433704057,554.2318725585938,445.43826466459024,0.0,554.1159057617188,0.4315525016827622,2.497201281251713,0.8,5000,-0.001059464062564075,96.363924167335,1108.3477783203125,260.5481588410866,144.98960308474656,0.3482507287982425,0.0,0.054384365907109954,0.001059466740116477,0.0
0.1,1,0.1255204944392194,4.220008786859353e-09,9.107580938385646e-05,5.6610260009765625,0.13040986448835848,0.20433809208780868,0.00993455108255148,10,5.250112271871209e-13,64.34657287597656,414.891607050295,0.0,101.73335266113281,0.6435558441287125,2.186783706715997,0.1,10000,-0.0015128541272133589,11.635601575234212,166.07992553710938,44.84981038837939,123.36423757569348,0.07495539359522108,0.0,0.12150888916886551,0.0015128583181649446,0.0
1.0,2,0.14961226026471428,1.273155181280572e-08,0.005948831965254424,5.695137023925781,0.16519821815497684,0.47638324526638004,0.0065253907814621925,10,0.0,866.3356323242188,832.0153316453965,0.0,699.0725708007812,369.3210361596457,4.6098476128159005,0.3,15000,-0.001257762429304421,94.20266145952401,1565.408203125,454.63614448432963,130.76080049313813,0.22922150498847543,0.0,0.0994820421430457,0.0012577751185745,0.0
0.9,3,0.21272523878496838,-1.1444092340440193e-09,0.06323914500658152,5.683243274688721,0.2284940148963528,0.3895539651345249,0.009732210077345371,10,0.0,561.65771484375,1321.5798417951357,0.1,805.7703857421875,8.567588011549214,8.628042127813819,0.0,20000,-0.0008540500421077013,87.74996778426808,1367.4281005859375,476.82359131092335,308.9063007908439,0.15873131962085482,0.0,0.11676837780499172,0.000854048877954483,0.0
0.8,4,0.07279672952090746,-5.5551527822217395e-09,0.028409845449009097,5.666906833648682,0.0923481924536576,0.10713710960770843,0.006429512053728104,10,9.372116903758846e-08,61.446950912475586,391.3537481625349,0.0,22.586145401000977,3.519111814673864,0.9775296556796926,0.0,25000,-0.0019481036579236388,9.067361908057634,84.03309631347656,49.131002842294706,114.12530876516443,0.04451386886918472,0.0,0.0703513660387146,0.0019480980699881911,0.0
1.0,5,0.04388434854865355,-3.5762786065873797e-09,0.13716634054010832,5.674347400665283,0.1282864812758368,0.37363241045807605,0.007588864304125309,10,1.0441669251925146e-06,54.145042419433594,420.82924978540836,0.0,46.424217224121094,1.80951897150136,2.8989174054149762,0.6,30000,-0.0018312265165150166,66.05282104251576,100.56925964355469,191.5724850631014,160.9273465505867,0.282641628770608,0.0,0.027997558313113603,0.00183122290764004,0.0
0.1,6,0.13985628899010594,1.037120833657923e-09,0.014643440039348959,5.649653434753418,0.17815798277156134,0.12549417777889896,0.006404649931937456,10,1.726594385669564e-08,8.99618911743164,554.3743630414707,0.0,47.408653259277344,0.7668054656535883,4.299019466109331,0.1,35000,-0.0026099353563040495,24.044697780980215,56.404842376708984,58.395960085202375,165.34562358500168,0.03838812635744224,0.0,0.12810325488969643,0.002609936287626624,0.0
0.9,7,0.08497526187832445,-9.822845647988743e-09,0.004001841088531279,5.646438121795654,0.08505665787594428,0.5731819063997726,0.009969878941774368,10,4.55837566687647e-09,79.76638793945312,500.4134119242031,0.0,124.78959655761719,4.058874622700837,2.451446690926781,0.5,40000,-0.00260913441888988,95.75982379462701,204.5559844970703,402.2096728228663,142.9412811557458,0.3492015621020363,0.0,0.08457787262443928,0.0026091246400028467,0.0
1.0,8,0.5034362941049065,1.6272068137368478e-09,0.041545327542330285,5.587634563446045,0.5431406509762163,0.6793621022139954,0.006652879528701305,10,0.0,664.1897583007812,1335.3303077191258,0.5,592.6077270507812,464.0257347860845,8.678432145392453,0.1,45000,-0.0005476386868394911,138.59386264298308,1256.7974853515625,790.5891901267888,316.26483647756163,0.24211884005831408,0.0,0.09432022258146491,0.0005476403166539967,0.0
0.6,9,0.1766514804792991,7.748603980672897e-10,0.025178603965341346,5.539156913757324,0.18911055272586938,0.1862399667350659,0.006473701447248459,10,0.0,66.8901596069336,954.9535249393545,0.1,78.22112274169922,5.170689395820476,2.0728231311601855,0.0,50000,-0.0007960987277328968,26.214678090165627,145.1112823486328,157.08991044845922,303.63023414282287,0.0757109521116147,0.0,0.0832588783074664,0.0007960994844324887,0.0
