door-v1/SuccessRate,door-v1/MaxReturn,drawer-open-v1/SuccessRate,reach-v1/AverageReturn,window-open-v1/AverageReturn,door-v1/StdReturn,drawer-close-v1/NumTrajs,button-press-topdown-v1/MaxReturn,window-open-v1/SuccessRate,pick-place-v1/SuccessRate,alpha,window-open-v1/AverageDiscountedReturn,window-close-v1/NumTrajs,window-close-v1/SuccessRate,window-open-v1/CompletionRate,ped-insert-side-v1/AverageDiscountedReturn,door-v1/CompletionRate,window-close-v1/CompletionRate,local/Max_Median_SuccessRate,push-v1/Iteration,button-press-topdown-v1/MinReturn,drawer-open-v1/MaxReturn,pick-place-v1/NumTrajs,button-press-topdown-v1/Iteration,reach-v1/Iteration,drawer-close-v1/MaxReturn,button-press-topdown-v1/NumTrajs,window-close-v1/AverageReturn,window-open-v1/StdReturn,reach-v1/StdReturn,window-open-v1/MaxReturn,pick-place-v1/MaxReturn,pick-place-v1/CompletionRate,qf_loss/qf1_loss,door-v1/AverageReturn,push-v1/MaxReturn,button-press-topdown-v1/SuccessRate,window-close-v1/StdReturn,window-open-v1/Iteration,button-press-topdown-v1/StdReturn,window-open-v1/NumTrajs,drawer-open-v1/AverageDiscountedReturn,drawer-open-v1/AverageReturn,window-open-v1/MinReturn,door-v1/NumTrajs,policy_loss,qf_loss/qf2_loss,window-close-v1/MinReturn,drawer-close-v1/StdReturn,TotalEnvSteps,ped-insert-side-v1/NumTrajs,push-v1/CompletionRate,window-close-v1/Iteration,drawer-open-v1/StdReturn,drawer-close-v1/SuccessRate,button-press-topdown-v1/CompletionRate,window-close-v1/AverageDiscountedReturn,ped-insert-side-v1/MaxReturn,push-v1/SuccessRate,ped-insert-side-v1/AverageReturn,pick-place-v1/Iteration,reach-v1/SuccessRate,reach-v1/CompletionRate,button-press-topdown-v1/AverageDiscountedReturn,ped-insert-side-v1/Iteration,local/normalized_avg_return,ped-insert-side-v1/MinReturn,reach-v1/AverageDiscountedReturn,drawer-close-v1/AverageDiscountedReturn,drawer-open-v1/Iteration,door-v1/Iteration,push-v1/MinReturn,drawer-close-v1/MinReturn,local/Mean_SuccessRate,pick-place-v1/StdReturn,door-v1/MinReturn,local/Max_Mean_SuccessRate,reach-v1/NumTrajs,pick-place-v1/MinReturn,push-v1/AverageReturn,pick-place-v1/AverageReturn,reach-v1/MinReturn,window-close-v1/MaxReturn,local/Median_SuccessRate,drawer-open-v1/CompletionRate,ped-insert-side-v1/CompletionRate,button-press-topdown-v1/AverageReturn,push-v1/StdReturn,drawer-close-v1/CompletionRate,reach-v1/MaxReturn,door-v1/AverageDiscountedReturn,drawer-close-v1/Iteration,pick-place-v1/AverageDiscountedReturn,drawer-close-v1/AverageReturn,drawer-open-v1/MinReturn,push-v1/AverageDiscountedReturn,ped-insert-side-v1/StdReturn,ped-insert-side-v1/SuccessRate,drawer-open-v1/NumTrajs,push-v1/NumTrajs
0.0,-27.360049243235025,0.0,42414.40645091204,-31.41730764513173,4.90763764903884,10,-37.2227391950637,0.0,0.0,0.5434461236000061,-15.794410674746427,10,0.0,1.0,-14.198456365023944,1.0,1.0,0.0,0,-47.748488905512424,-27.498427393797527,10,0,0,-26.59508221602113,10,-20.28557352371394,2.2730694946815215,479.27152185759786,-27.964311768471603,-25.84948068024797,1.0,1459.4913330078125,-33.61689233469407,-36.02008955505075,0.0,2.8736310919802244,0,3.3695655088094676,10,-15.844162552695423,-31.53067241600856,-35.135586165249876,10,-470.5770568847656,1455.7332763671875,-26.774932762047698,3.751908524289656,39000,10,1.0,0,2.2239140609127785,0.0,1.0,-11.32884522134968,-14.620626302167055,0.0,-31.808114342079694,0,1.0,1.0,-22.562592992306403,0,44664.30942263465,-43.218895868777835,29730.490875109368,-15.44019894984842,0,0,-47.27857693624394,-37.17638814634048,0.1,8.929555949187263,-42.99854909959718,0.1,10,-58.07853458516732,-41.340564806282984,-47.165337524330084,41606.54213831523,-16.421907509038782,0.0,1.0,1.0,-42.55197756462404,3.5246772866843448,1.0,42951.34953914048,-18.093475829666424,0,-20.679357373044276,-32.716711482969735,-34.7282917858147,-18.808016681691953,9.192427903335824,0.0,10,10
0.0,-73.1117247789185,0.0,82228.30889771169,-57.38960937477755,0.7114694334660844,10,-47.7611497302916,0.0,0.0,0.9310023188591003,-26.994280390862553,10,0.0,1.0,-19.094920116257864,1.0,1.0,0.0,0,-74.89953040589658,-11.045235196758593,10,0,0,-14.320458867775917,10,-24.79326145690039,0.5821088474620085,815.2272843346765,-56.53796480646649,-85.13964817715207,1.0,100598.3359375,-74.52745328307606,-49.52357437806642,0.0,0.3036631089324161,0,10.861508512745221,10,-9.470387499241806,-17.489969664554025,-58.75887902836658,10,-1300.2247314453125,101592.0078125,-25.201758274176967,1.4212048438069405,78000,10,1.0,0,3.2398306097568557,0.1,1.0,-13.09751395101795,-32.270745330308046,0.0,-40.197368431417416,0,1.0,1.0,-29.776530121281418,0,72223.68017220122,-55.80390378696373,48377.67887635698,-8.334560867146067,0,0,-60.74842521230438,-18.653098236102384,0.11000000000000001,0.5509834087383336,-75.84746322391302,0.11000000000000001,10,-87.00943680167062,-54.75995876313577,-85.99147123239243,81028.39347449639,-24.300823591379537,0.0,1.0,1.0,-62.28576048932987,3.1365125607001967,1.0,83530.50262874474,-36.33003696715184,0,-42.02290520404469,-16.040639502565945,-21.189699753731272,-26.220519156305176,7.72437538200394,0.0,10,10
0.0,-53.27350464708587,0.0,93234.94416833477,-50.096838204064,0.6710204343472846,10,-59.03449706489331,0.0,0.0,2.322787284851074,-24.957557566804603,10,0.0,1.0,-32.3301069672644,1.0,1.0,0.0,0,-59.5069168885219,-45.79477736344882,10,0,0,-21.068734158456447,10,-51.31979951811705,0.6354228867872651,1861.5781987189714,-49.40976749005574,-114.21039048047406,1.0,331870.84375,-54.50142840298817,-63.60912752082611,0.0,0.5016227031392082,0,0.14876832956341726,10,-22.0646850376555,-46.743830556543415,-50.94353834083616,10,-2198.726318359375,331289.03125,-52.362338806734584,5.549607221328308,117000,10,1.0,0,0.3889339562006438,0.1,1.0,-24.372318326843867,-65.00833752091813,0.0,-65.54020151271251,0,0.0,1.0,-28.26072708092217,0,71845.59506739462,-66.14420917634929,43523.33149884081,-13.575763553168937,0,0,-64.63708941313084,-36.047935332004315,0.01,0.32713818104528175,-55.390613820308566,0.11000000000000001,10,-115.38561084505685,-64.2038614083186,-114.83401813758601,90394.11966477716,-50.52699793260108,0.0,1.0,1.0,-59.303766611712945,0.3023820621999639,1.0,97362.10278906433,-27.990962571766715,0,-53.45915656531933,-29.8672963850672,-47.028222849636954,-29.176440484109555,0.3675759477738952,0.0,10,10
0.0,-38.14034319369772,0.0,50977.62202427753,-54.720608055355946,0.4539080157682419,10,-60.04289109826825,0.0,0.0,5.095379829406738,-25.42610490265837,10,0.0,1.0,-26.300735771345547,1.0,1.0,0.0,0,-63.565387992122204,-73.98848668386478,10,0,0,-65.40867201287678,10,-66.52669285482834,6.778993860567237,1960.480351452681,-47.721882891939856,-68.15670743045465,1.0,17052.20703125,-38.65749428604671,-47.24712159733616,0.0,0.2180480586511212,0,1.0799034231892854,10,-33.6629661590569,-77.63086528446189,-73.94713014031483,10,-2801.480224609375,16898.521484375,-67.03588909280782,0.7006626741400641,156000,10,1.0,0,1.7068291077857742,0.0,1.0,-31.442343366035164,-55.468194053639124,0.0,-58.70239871180564,0,1.0,1.0,-28.993316018134493,0,72266.30432675572,-60.53790205058828,32261.116492052155,-29.377919565807503,0,0,-58.45599950100629,-67.84308942940858,0.1,3.226686426956297,-39.75398655949322,0.11000000000000001,10,-81.20995997710125,-55.859928600115644,-76.21439994104131,47702.22290030718,-66.2094318395938,0.0,1.0,1.0,-62.04838137118079,3.0016584445752104,1.0,53562.92390688306,-19.626981322479953,0,-33.31330470459339,-66.56156904322305,-80.23656071756288,-23.987394023278846,1.351303257607076,0.0,10,10
0.0,-62.08074452545499,0.0,107333.70510105373,-74.64178082861744,0.3768014925087741,10,-47.06452248972523,0.0,0.0,5.810392379760742,-35.861260679427524,10,0.0,1.0,-19.98156949311299,1.0,1.0,0.0,0,-48.48854129114383,-50.124690961185756,10,0,0,-42.63184881834877,10,-61.930337786975244,2.0733824326167185,3105.5199628018427,-72.11518537265184,-72.73953931661651,1.0,9917.79296875,-62.46890223721008,-63.97577454380233,0.0,0.15258671921363906,0,0.3806664280434386,10,-22.92005449645515,-58.81655276624154,-79.37535691862287,10,-2619.121826171875,8790.4853515625,-62.10105932062484,2.3372739356481236,195000,10,1.0,0,4.679566550249491,0.0,1.0,-30.327004609505885,-39.81781408921025,0.0,-41.71195741004965,0,0.9,1.0,-25.033133602368366,0,75757.85366787872,-44.89903818746491,51889.82118386077,-20.37978541229986,0,0,-67.20122891611615,-49.64543730035216,0.09,0.4558072367172696,-63.45721238185669,0.11000000000000001,10,-74.27522530916411,-65.95008126317119,-73.70166403461613,103322.07536337106,-61.54587734149391,0.0,1.0,1.0,-47.96203854926682,1.0704850882444492,1.0,112534.46820372056,-31.445099920063747,0,-32.99238752540372,-45.56342958880486,-65.05137415704735,-31.984027666334327,1.4938322715964867,0.0,10,10
0.0,-57.085109977050145,0.0,114386.85710680517,-66.26265125814425,1.6557943063715825,10,-34.76497175432266,0.0,0.0,5.644530296325684,-31.93947678868519,10,0.0,1.0,-26.398018316875778,1.0,1.0,0.0,0,-37.3494182691288,-91.734487957066,10,0,0,-12.022091416678776,10,-53.14456396875384,1.1466131534949349,1683.4595650245892,-63.675648398677566,-95.59409416534925,1.0,13167.978515625,-59.939969733668406,-70.89270198010229,0.0,0.3917322355741963,0,0.7074805294687623,10,-43.33469428732447,-91.9225414030929,-67.57620702776681,10,-2739.763427734375,12522.2646484375,-54.036973703592196,1.4579906201037514,234000,10,1.0,0,0.11690030587378382,0.8,1.0,-26.37673497375274,-57.59080592442515,0.0,-57.6935382310107,0,0.4,1.0,-18.566725254457356,0,82294.08516300727,-57.84770229661166,57355.873053171046,-8.282693786828371,0,0,-75.42841269474009,-17.372385531139397,0.12000000000000002,0.9062251602001355,-62.41181143907552,0.12000000000000002,10,-98.153290733775,-73.96143647507985,-97.08747125463627,112449.38928268793,-52.61428791531655,0.0,1.0,1.0,-36.253559912952106,1.2065904283065803,1.0,117028.54145644448,-31.084831053339805,0,-44.472347852740334,-16.21911031705066,-92.12249556376294,-34.131589778540146,0.07959369598289581,0.0,10,10
0.0,-47.266788557936245,0.0,116171.21064691804,-75.62892030936493,0.41454476144990776,10,-28.324494515945133,0.0,0.0,6.171028137207031,-35.775438349014166,10,0.0,1.0,-18.76189838687708,1.0,1.0,0.0,0,-29.467682166703213,-71.72378854293127,10,0,0,-13.07362776201016,10,-54.00933232167396,3.1478045766256053,16103.990820640436,-66.26207840886634,-61.63842307733511,1.0,12463.4921875,-47.89803054223322,-59.07153882589765,0.0,0.943033971930617,0,0.31564431517682917,10,-35.56058898019681,-72.17125565926992,-77.37213371315768,10,-3062.148681640625,11389.4697265625,-55.21691882987179,4.164829207402599,273000,10,1.0,0,0.26850781745121394,0.0,1.0,-24.441806864530086,-38.085519137610774,0.0,-39.28283739802324,0,0.9,1.0,-15.643760556184068,0,89339.55707239373,-40.49083542773581,55504.362023365786,-8.216384533715456,0,0,-62.314319316686216,-30.007652672011474,0.09,0.8616832380387484,-48.71763583862094,0.12000000000000002,10,-64.83424268058675,-60.53795945014618,-63.03633566260267,88373.14393168884,-51.84143882536539,0.0,1.0,1.0,-28.947541719020524,1.1678598301460306,1.0,141243.89110284942,-27.135808414491027,0,-27.89854719733371,-18.421993694371572,-72.54021546159521,-28.27126479880169,0.7634839667295994,0.0,10,10
0.0,-29.710948494806587,0.0,130293.6583449423,-48.46590061525361,0.3647498165811211,10,-30.74571323062421,0.0,0.0,6.618772983551025,-25.776126860806976,10,0.0,1.0,-16.861788055114584,1.0,1.0,0.0,0,-33.076943570148856,-53.79074724074446,10,0,0,-18.08046651242053,10,-16.64645277725533,1.2966438469101067,4747.991449166928,-45.36695953043471,-65.5715149352329,1.0,107914.8125,-30.302163073234954,-63.11580838808972,0.0,2.101114655678443,0,0.6240671991153814,10,-28.10276180516984,-55.21559432450981,-50.54570106874338,10,-3798.356201171875,105742.2265625,-20.729797622193583,10.234418348548461,312000,10,1.0,0,1.0183147742473162,0.0,1.0,-8.767984100046377,-33.72668671173696,0.0,-33.89561019045991,0,1.0,1.0,-17.056908537809562,0,93681.27904168607,-34.21038108094183,65970.27985298875,-15.695082126441292,0,0,-69.86916734885796,-43.322736347575045,0.1,11.187894469985629,-31.030469405001828,0.12000000000000002,10,-95.94437856582832,-66.6297676704485,-87.62397673890976,121281.28616490813,-14.799890720921645,0.0,1.0,1.0,-31.735131416882204,1.6927310748101874,1.0,137556.60742321843,-16.206042183733246,0,-39.26674268183781,-34.25358696815322,-57.61114459181491,-29.701206933574753,0.13776518908428464,0.0,10,10
0.4,-18.833484301189127,0.0,136744.66512659055,-72.141137728226,6.604588989320516,10,-20.967607917378313,0.0,0.0,6.612465858459473,-33.49971044802542,10,0.0,1.0,-22.47759752852791,1.0,1.0,0.0,0,-24.036817985100974,-39.13607576392529,10,0,0,-20.308288532621386,10,-28.55078634935011,0.8892318384237201,5316.797009328874,-70.60272510606391,-31.290881745174616,1.0,76000.421875,-26.953848033649525,-64.58553594412149,0.0,7.482318425314059,0,1.1026384549317247,10,-25.618705389640542,-51.85869741472095,-73.83149187174344,10,-3836.528076171875,77241.3671875,-38.34225174600259,9.141670008929793,351000,10,1.0,0,4.266252997628304,0.1,1.0,-12.856370757510097,-47.585250352441626,0.0,-48.91198916774738,0,1.0,1.0,-13.02817653595272,0,98610.48718483433,-50.651443369529396,68636.77462891846,-13.256101682476963,0,0,-70.49581805249844,-53.1949570935062,0.15,1.2112260100234284,-35.991678180887995,0.15,10,-34.876175932888536,-69.1394704690299,-32.98009407097173,128132.91990797209,-10.230073471151934,0.0,1.0,1.0,-22.160480791864117,1.6352960359031143,1.0,143425.44341002224,-13.692847534066953,0,-16.883719652775422,-26.929708200197318,-53.786732168452964,-31.72219922103813,0.8304683962756684,0.0,10,10
0.0,-64.84153002497148,0.0,156507.96835144298,-57.32679643256192,0.5938169942689351,10,-28.140970037713384,0.0,0.0,6.891634464263916,-28.613993623988744,10,0.0,1.0,-13.245885726768208,1.0,1.0,0.0,0,-31.1855714856433,-62.63921483421779,10,0,0,-17.451103264909403,10,-45.04583108797805,0.2344517839329925,7861.842621212731,-56.991700045577026,-76.66598903597617,1.0,150160.859375,-65.54202436309605,-61.022052496769774,0.0,4.352987290599057,0,0.8145407985979641,10,-28.670392049678792,-63.49043752300685,-57.804426302179444,10,-3612.784423828125,149190.984375,-48.2063029297759,5.452424466171875,390000,10,1.0,0,0.6533648524881476,0.3,1.0,-22.323201287909193,-23.503814239640946,0.0,-25.989553658850724,0,1.0,1.0,-16.101602783355823,0,104515.64649453225,-29.21774298609664,73001.05129631383,-10.398720046714052,0,0,-66.42590857561525,-35.64451858458589,0.13,2.1399796390927754,-66.78764000420641,0.15,10,-82.91910244076296,-64.00207760210016,-79.36254016159099,145625.05471172533,-32.27251847592408,0.0,1.0,1.0,-30.415836944353657,2.0618031440048945,1.0,168160.84624720807,-33.21301876267955,0,-37.91322626562147,-21.88874767423814,-64.70526814644974,-29.728423988682728,1.9619470517931663,0.0,10,10
