pick-place-v2/MinReturn,pick-place-v2/EpisodeMeanMaxInPlaceReward,pick-place-v2/AverageReturn,pick-place-v2/NearObject,MetaTest/Average/Iteration,Average/MaxReturn,Average/EpisodeMeanGraspReward,MetaTest/Average/MaxReturn,MetaTest/pick-place-v2/EpisodeMeanMaxInPlaceReward,pick-place-v2/MaxReturn,Average/EpisodeMeanInPlaceReward,Average/EpisodeMeanMinInPlaceReward,MetaTest/Average/NumEpisodes,Average/AverageReturn,policy/dLoss,TotalEnvSteps,MetaTest/pick-place-v2/SuccessRate,MetaTest/Average/EpisodeMeanMinGraspReward,MetaTest/pick-place-v2/EpisodeMeanMaxGraspReward,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/EpisodeMeanInPlaceReward,MetaTest/pick-place-v2/NearObject,Average/Iteration,Average/AverageDiscountedReturn,Average/StdReturn,MetaTest/Average/EpisodeMeanMaxInPlaceReward,pick-place-v2/SuccessRate,pick-place-v2/GraspSuccessRate,MetaTest/Average/StdReturn,Average/MinReward,policy/LossAfter,MetaTest/pick-place-v2/MaxReturn,MetaTest/Average/MaxReward,pick-place-v2/StdReturn,Average/MinReturn,MetaTest/pick-place-v2/GraspSuccessRate,Average/NearObject,LinearFeatureBaseline/ExplainedVariance,MetaTest/pick-place-v2/Iteration,MetaTest/Average/SuccessRate,pick-place-v2/MinReward,Average/EpisodeMeanMaxInPlaceReward,MetaTest/Average/MinReward,pick-place-v2/EpisodeMeanMinGraspReward,MetaTest/Average/TerminationRate,Average/MaxReward,MetaTest/pick-place-v2/MinReward,pick-place-v2/AverageDiscountedReturn,Average/GraspSuccessRate,pick-place-v2/EpisodeMeanInPlaceReward,MetaTest/pick-place-v2/EpisodeMeanInPlaceReward,MetaTest/Average/MinReturn,pick-place-v2/TerminationRate,MetaTest/pick-place-v2/EpisodeMeanGraspReward,MetaTest/Average/NearObject,MetaTest/Average/EpisodeMeanMaxGraspReward,pick-place-v2/NumEpisodes,Average/TerminationRate,MetaTest/Average/AverageReturn,MetaTest/Average/EpisodeMeanGraspReward,Average/NumEpisodes,MetaTest/pick-place-v2/MinReturn,Average/SuccessRate,MetaTest/pick-place-v2/EpisodeMeanMinGraspReward,Average/EpisodeMeanMinGraspReward,MetaTest/pick-place-v2/TerminationRate,MetaTest/Average/EpisodeMeanMinInPlaceReward,policy/Entropy,pick-place-v2/EpisodeMeanMinInPlaceReward,Average/EpisodeMeanMaxGraspReward,MetaTest/pick-place-v2/AverageReturn,pick-place-v2/EpisodeMeanGraspReward,MetaTest/Average/GraspSuccessRate,policy/LossBefore,MetaTest/pick-place-v2/StdReturn,MetaTest/pick-place-v2/EpisodeMeanMinInPlaceReward,MetaTest/pick-place-v2/MaxReward,MetaTest/pick-place-v2/NumEpisodes,pick-place-v2/MaxReward,policy/KL,MetaTest/pick-place-v2/AverageDiscountedReturn,policy/KLBefore,pick-place-v2/Iteration,pick-place-v2/EpisodeMeanMaxGraspReward
2.081077424330295,0.1392927502703975,73.51872452402196,0.0,0,399.8830281605953,0.006547320936173548,886.7810737110473,0.14351891584878337,399.8830281605953,0.13900332264141838,0.13897488918119413,50,73.51872452402196,0.07812809,50000,0.0,2.105939680312499e-06,0.03790461409578854,525.3872861808317,0.14323635639425697,0.0,0,23.956382353150644,92.96391403119047,0.14351891584878337,0.0,0.0,146.11149663249427,2.9802280613484743e-12,-0.07822757,886.7810737110473,11.687778308888197,92.96391403119047,2.081077424330295,0.0,0.0,0.7572794336875736,0,0.0,2.9802280613484743e-12,0.1392927502703975,1.4367853482519775e-09,6.550849535135357e-06,0.0,4.131682937760606,1.4367853482519775e-09,23.956382353150644,0.0,0.13900332264141838,0.14323635639425697,313.451630951595,0.0,0.0052403035965880515,0.0,0.03790461409578854,100,0.0,525.3872861808317,0.0052403035965880515,100,313.451630951595,0.0,2.105939680312499e-06,6.550849535135357e-06,0.0,0.14320193546136809,5.67537,0.13897488918119413,0.047226724463742834,525.3872861808317,0.006547320936173548,0.0,-9.948242e-05,146.11149663249427,0.14320193546136809,11.687778308888197,50,4.131682937760606,0.016246736,525.3872861808317,0.0,0,0.047226724463742834
344.7327057359534,0.14570466229818924,651.8522815400603,0.0,,1123.5602358967594,0.005240285436594744,,,1123.5602358967594,0.1453787451467955,0.145336833028922,,651.8522815400603,0.17636126,100000,,,,,,,1,184.6390149267908,158.66875628645113,,0.0,0.0,,2.51206270291429e-07,-0.17595856,,,158.66875628645113,344.7327057359534,,0.0,0.6267459529060779,,,2.51206270291429e-07,0.14570466229818924,,3.830304218599385e-06,,11.480521445001104,,184.6390149267908,0.0,0.1453787451467955,,,0.0,,,,100,0.0,,,100,,0.0,,3.830304218599385e-06,,,5.664294,0.145336833028922,0.03503720801625992,,0.005240285436594744,,0.00040270507,,,,,11.480521445001104,0.0069683376,,0.0,1,0.03503720801625992
306.92724863705786,0.14020366996817388,604.266729253604,0.0,,917.6608385702925,0.005405653064770723,,,917.6608385702925,0.1398956388480169,0.13986453699758858,,604.266729253604,0.14888851,150000,,,,,,,2,183.3186689825427,118.08558515460794,,0.0,0.0,,7.623682800967596e-08,-0.14791313,,,118.08558515460794,306.92724863705786,,0.0,0.41764081037409007,,,7.623682800967596e-08,0.14020366996817388,,7.464025411757982e-06,,17.7630195700155,,183.3186689825427,0.0,0.1398956388480169,,,0.0,,,,100,0.0,,,100,,0.0,,7.464025411757982e-06,,,5.6512856,0.13986453699758858,0.03387944934851098,,0.005405653064770723,,0.0009753906,,,,,17.7630195700155,0.007485825,,0.0,2,0.03387944934851098
390.11213877383557,0.13936402565289827,506.2572725807167,0.0,,751.6801576912276,0.0076822734273631794,,,751.6801576912276,0.13911690626110773,0.1390861715524214,,506.2572725807167,0.16436517,200000,,,,,,,3,187.57280912370467,92.48405808304487,,0.0,0.0,,3.0640317421359326e-08,-0.16215765,,,92.48405808304487,390.11213877383557,,0.0,0.356482768727585,,,3.0640317421359326e-08,0.13936402565289827,,1.4513394414006615e-05,,13.973662152350327,,187.57280912370467,0.0,0.13911690626110773,,,0.0,,,,100,0.0,,,100,,0.0,,1.4513394414006615e-05,,,5.645162,0.1390861715524214,0.06845762570941288,,0.0076822734273631794,,0.0022075195,,,,,13.973662152350327,0.004755661,,0.0,3,0.06845762570941288
312.933584261212,0.14552696051424868,534.2309610288171,0.0,,741.8051716608718,0.005311897183622282,,,741.8051716608718,0.14522128401848766,0.14518152546221383,,534.2309610288171,0.11878266,250000,,,,,,,4,170.53478251743348,105.87254795362813,,0.0,0.0,,4.0427681703020895e-11,-0.116657816,,,105.87254795362813,312.933584261212,,0.0,0.42373874045719295,,,4.0427681703020895e-11,0.14552696051424868,,7.268592286184581e-06,,11.045043991885604,,170.53478251743348,0.0,0.14522128401848766,,,0.0,,,,100,0.0,,,100,,0.0,,7.268592286184581e-06,,,5.6418695,0.14518152546221383,0.03686136895194707,,0.005311897183622282,,0.0021248437,,,,,11.045043991885604,0.0076753795,,0.0,4,0.03686136895194707
343.05068099752043,0.14202270174776213,579.040308590385,0.0,,879.5740261718851,0.006814565755151691,,,879.5740261718851,0.1413892069024683,0.14114478997169935,,579.040308590385,0.14661442,300000,,,,,,,5,189.40852645610542,122.71570667255425,,0.0,0.0,,7.86496972064142e-08,-0.14756867,,,122.71570667255425,343.05068099752043,,0.0,0.5578885268889084,,,7.86496972064142e-08,0.14202270174776213,,6.944499038349588e-06,,10.443175837496932,,189.40852645610542,0.0,0.1413892069024683,,,0.0,,,,100,0.0,,,100,,0.0,,6.944499038349588e-06,,,5.6366663,0.14114478997169935,0.053428792991625854,,0.006814565755151691,,-0.0009542578,,,,,10.443175837496932,0.0068290844,,0.0,5,0.053428792991625854
324.98137980868523,0.14408626850206346,491.3674916988652,0.0,,830.4218202679135,0.009422737096677123,,,830.4218202679135,0.14377665032555234,0.14374255181133685,,491.3674916988652,0.12596546,350000,,,,,,,6,184.85826839574406,88.55938158881848,,0.0,0.0,,2.870513417673548e-07,-0.12495437,,,88.55938158881848,324.98137980868523,,0.0,0.4869853806460275,,,2.870513417673548e-07,0.14408626850206346,,1.7596012422646908e-05,,14.487053196090054,,184.85826839574406,0.0,0.14377665032555234,,,0.0,,,,100,0.0,,,100,,0.0,,1.7596012422646908e-05,,,5.630532,0.14374255181133685,0.08995514219528786,,0.009422737096677123,,0.0010110937,,,,,14.487053196090054,0.005365148,,0.0,6,0.08995514219528786
255.97317671807866,0.13909020550501275,439.8831622370988,0.02,,626.0167734035848,0.008492795954144823,,,626.0167734035848,0.13784477855043797,0.13760309660690814,,439.8831622370988,0.14823735,400000,,,,,,,7,171.22809548379723,68.1471762378148,,0.0,0.0,,2.6595638455299402e-09,-0.14471047,,,68.1471762378148,255.97317671807866,,0.02,0.4055515236844086,,,2.6595638455299402e-09,0.13909020550501275,,1.3397649951195617e-05,,13.025312123692464,,171.22809548379723,0.0,0.13784477855043797,,,0.0,,,,100,0.0,,,100,,0.0,,1.3397649951195617e-05,,,5.6277857,0.13760309660690814,0.0803440797177838,,0.008492795954144823,,0.003526875,,,,,13.025312123692464,0.008149108,,0.0,7,0.0803440797177838
240.08949500505096,0.1412254281553519,450.50933373741793,0.03,,811.0960350897308,0.010716204216045773,,,811.0960350897308,0.1387995809170163,0.13743617647008732,,450.50933373741793,0.15781868,450000,,,,,,,8,167.99820080851322,115.17589104227554,,0.0,0.0,,7.563998160899704e-09,-0.15666945,,,115.17589104227554,240.08949500505096,,0.03,0.44245072712009803,,,7.563998160899704e-09,0.1412254281553519,,1.001969787242662e-05,,11.563775870768723,,167.99820080851322,0.0,0.1387995809170163,,,0.0,,,,100,0.0,,,100,,0.0,,1.001969787242662e-05,,,5.6204143,0.13743617647008732,0.10942633716674059,,0.010716204216045773,,0.0011492188,,,,,11.563775870768723,0.0058455793,,0.0,8,0.10942633716674059
127.71730005621575,0.14365502040377978,398.94330262380294,0.05,,658.3531448482279,0.011026182728957785,,,658.3531448482279,0.1400639616851099,0.13754631307388462,,398.94330262380294,0.18790567,500000,,,,,,,9,157.09147041154654,96.14922205460843,,0.0,0.0,,9.182305507393898e-08,-0.1868198,,,96.14922205460843,127.71730005621575,,0.05,0.4160437452202814,,,9.182305507393898e-08,0.14365502040377978,,1.4735129649949927e-05,,12.12384044267924,,157.09147041154654,0.0,0.1400639616851099,,,0.0,,,,100,0.0,,,100,,0.0,,1.4735129649949927e-05,,,5.608999,0.13754631307388462,0.10469658209655751,,0.011026182728957785,,0.0010858594,,,,,12.12384044267924,0.005524032,,0.0,9,0.10469658209655751
