push-v2/Iteration,Average/EpisodeMeanMaxInPlaceReward,Average/MaxReward,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/StdReturn,MetaTest/Average/SuccessRate,MetaTest/Average/EpisodeMeanMaxGraspReward,MetaTest/Average/EpisodeMeanMinInPlaceReward,push-v2/AverageReturn,GaussianMLPPolicy/dLoss,Average/StdReturn,Average/SuccessRate,push-v2/TerminationRate,Average/EpisodeMeanInPlaceReward,MetaTest/push-v2/EpisodeMeanGraspReward,GaussianMLPPolicy/Entropy,push-v2/EpisodeMeanMinInPlaceReward,MetaTest/push-v2/NumEpisodes,MetaTest/Average/EpisodeMeanMaxInPlaceReward,push-v2/GraspSuccessRate,MetaTest/push-v2/AverageDiscountedReturn,GaussianMLPPolicy/KLBefore,MetaTest/push-v2/TerminationRate,MetaTest/push-v2/Iteration,Average/MinReturn,push-v2/MinReturn,MetaTest/push-v2/MinReward,push-v2/NumEpisodes,MetaTest/push-v2/GraspSuccessRate,MetaTest/Average/NumEpisodes,TotalEnvSteps,push-v2/EpisodeMeanMaxGraspReward,Average/AverageReturn,push-v2/NearObject,MetaTest/Average/AverageReturn,MetaTest/Average/EpisodeMeanGraspReward,push-v2/MinReward,push-v2/SuccessRate,MetaTest/Average/NearObject,push-v2/StdReturn,Iteration,Average/NearObject,Average/EpisodeMeanMinInPlaceReward,Average/GraspSuccessRate,Average/EpisodeMeanMaxGraspReward,MetaTest/push-v2/MaxReward,push-v2/MaxReturn,push-v2/EpisodeMeanMaxInPlaceReward,MetaTest/push-v2/MinReturn,GaussianMLPPolicy/LossBefore,GaussianMLPPolicy/KLAfter,MetaTest/push-v2/EpisodeMeanMinGraspReward,MetaTest/Average/Iteration,MetaTest/Average/MinReward,MetaTest/Average/EpisodeMeanMinGraspReward,MetaTest/Average/EpisodeMeanInPlaceReward,Average/EpisodeMeanMinGraspReward,MetaTest/push-v2/AverageReturn,Average/EpisodeMeanGraspReward,GaussianMLPPolicy/LossAfter,MetaTest/Average/GraspSuccessRate,push-v2/EpisodeMeanInPlaceReward,Average/MaxReturn,MetaTest/push-v2/NearObject,MetaTest/push-v2/SuccessRate,MetaTest/Average/TerminationRate,MetaTest/push-v2/EpisodeMeanMaxGraspReward,push-v2/AverageDiscountedReturn,push-v2/EpisodeMeanGraspReward,Average/Iteration,Average/AverageDiscountedReturn,push-v2/EpisodeMeanMinGraspReward,MetaTest/push-v2/EpisodeMeanMaxInPlaceReward,MetaTest/push-v2/MaxReturn,MetaTest/push-v2/EpisodeMeanMinInPlaceReward,MetaTest/Average/MaxReward,MetaTest/push-v2/EpisodeMeanInPlaceReward,MetaTest/Average/MinReturn,MetaTest/Average/MaxReturn,Average/MinReward,MetaTest/push-v2/StdReturn,push-v2/MaxReward,Average/NumEpisodes,Average/TerminationRate
0,0.17069808352410704,10.0,6.443780228833491,0.0,0.0,0.10843162166942126,0.15321125582614656,9.27145224338247,0.018129825592041016,86.0721915845724,0.005,0.0,0.16298758563046667,0.016591133748328175,5.672845840454102,0.15712285165520928,1,0.15331475860069518,0.0,6.443780228833491,0.0,0.0,0,0.11256521299179191,0.11256521299179191,0.0022552318653642728,200,0.0,1,200000,0.08478936438447426,9.27145224338247,0.06,6.443780228833492,0.016591133748328175,7.689962151784664e-05,0.005,0.0,86.0721915845724,0,0.06,0.15712285165520928,0.0,0.08478936438447426,0.0678115543767911,1219.4372886083006,0.17069808352410704,6.443780228833492,7.599648952484131,0.0010660993866622448,0.0022836917843180263,0,0.0022552318653642728,0.0022836917843180263,0.15325703414990124,0.0007220645850167298,6.443780228833492,0.0075345311557318785,7.58151912689209,0.0,0.16298758563046667,1219.4372886083006,0.0,0.0,0.0,0.10843162166942126,1.5631124468294508,0.0075345311557318785,0,1.5631124468294508,0.0007220645850167298,0.15331475860069518,6.443780228833492,0.15321125582614656,0.0678115543767911,0.15325703414990124,6.443780228833492,6.443780228833492,7.689962151784664e-05,0.0,10.0,200,0.0
1,0.17582548397686604,2.4955003070731796,1.0974105112397576,0.0,0.0,0.010111807138863766,0.1561322550678792,5.578996213435369,9.775161743164062e-06,11.531585608040242,0.0,0.0,0.16865645129727247,0.002247358939739969,5.674376964569092,0.1623756359697048,1,0.1562435213791539,0.005,1.0974105112397576,0.0,0.0,1,0.1105795959505456,0.1105795959505456,0.000862541257637178,200,0.0,1,400000,0.12452920383510778,5.578996213435369,0.1,1.0974105112397594,0.002247358939739969,6.976522890661978e-05,0.0,0.0,11.531585608040242,1,0.1,0.1623756359697048,0.005,0.12452920383510778,0.00958804229027395,91.28656846995852,0.17582548397686604,1.0974105112397594,3.2660269737243652,0.0010664487490430474,0.0008665799211716054,1,0.000862541257637178,0.0008665799211716054,0.1561967470636948,0.0016160650450621837,1.0974105112397594,0.014449693005669562,3.266017198562622,0.0,0.16865645129727247,91.28656846995852,0.0,0.0,0.0,0.010111807138863766,1.8615776931226091,0.014449693005669562,1,1.8615776931226091,0.0016160650450621837,0.1562435213791539,1.0974105112397594,0.1561322550678792,0.00958804229027395,0.1561967470636948,1.0974105112397594,1.0974105112397594,6.976522890661978e-05,0.0,2.4955003070731796,200,0.0
2,0.17092398150067864,10.0,0.0986562040258669,0.0,0.0,0.0027431850687700877,0.15008250583677188,5.537731734346016,0.002150297164916992,31.882742924150534,0.005,0.0,0.1607575229556156,0.00019840216868786725,5.678560733795166,0.15312263035427717,1,0.1502275926017834,0.0,0.0986562040258669,0.0,0.0,2,0.09212971837930997,0.09212971837930997,3.5012969929734542e-06,200,0.0,1,600000,0.07942010706746391,5.537731734346016,0.045,0.09865620402586678,0.00019840216868786725,5.979870669083122e-05,0.005,0.0,31.882742924150534,2,0.045,0.15312263035427717,0.0,0.07942010706746391,0.002701235975167412,443.1506941231842,0.17092398150067864,0.09865620402586678,3.87715220451355,0.0026100852992385626,3.5013663935821776e-06,2,3.5012969929734542e-06,3.5013663935821776e-06,0.15012769544740512,0.0008445078313691603,0.09865620402586678,0.007703403975886536,3.875001907348633,0.0,0.1607575229556156,443.1506941231842,0.0,0.0,0.0,0.0027431850687700877,1.2691148291052472,0.007703403975886536,2,1.2691148291052472,0.0008445078313691603,0.1502275926017834,0.09865620402586678,0.15008250583677188,0.002701235975167412,0.15012769544740512,0.09865620402586678,0.09865620402586678,5.979870669083122e-05,0.0,10.0,200,0.0
3,0.17510614975802524,4.779726342673863,1.0533444066647117,0.0,0.0,0.03638413245070076,0.14383995136012184,7.991872558140567,0.0014290809631347656,22.244234436079775,0.0,0.0,0.16226754897448692,0.0023673480780867693,5.676724433898926,0.15340184687030145,1,0.14392177686771832,0.0,1.0533444066647117,0.0,0.0,3,0.08332382672866416,0.08332382672866416,3.0501079493092496e-05,200,0.0,1,800000,0.13746415025358164,7.991872558140567,0.13,1.0533444066647133,0.0023673480780867693,5.9356549787851955e-05,0.0,0.0,22.244234436079775,3,0.13,0.15340184687030145,0.0,0.13746415025358164,0.029908891039642393,223.85110110416272,0.17510614975802524,1.0533444066647133,5.612077236175537,0.006677098572254181,3.0506615444807983e-05,3,3.0501079493092496e-05,3.0506615444807983e-05,0.14388837671372434,0.0012023210696331715,1.0533444066647133,0.015806756717677468,5.610648155212402,0.0,0.16226754897448692,223.85110110416272,0.0,0.0,0.0,0.03638413245070076,2.2147436538562384,0.015806756717677468,3,2.2147436538562384,0.0012023210696331715,0.14392177686771832,1.0533444066647133,0.14383995136012184,0.029908891039642393,0.14388837671372434,1.0533444066647133,1.0533444066647133,5.9356549787851955e-05,0.0,4.779726342673863,200,0.0
4,0.16920721614206063,10.0,0.12295158267387957,0.0,0.0,0.0016064210393346623,0.14874392534206046,5.4219407377374935,0.0033805370330810547,32.52532598168006,0.005,0.0,0.16209340205914124,0.0002469910422659813,5.692680835723877,0.1577547566368087,1,0.14882392785011103,0.0,0.12295158267387957,0.0,0.0,4,0.11337681178282372,0.11337681178282372,6.921552099187306e-05,200,0.0,1,1000000,0.06566530698150698,5.4219407377374935,0.045,0.12295158267387955,0.0002469910422659813,7.700373106786523e-05,0.005,0.0,32.52532598168006,4,0.045,0.1577547566368087,0.0,0.06566530698150698,0.0015917925891827168,455.0854724101959,0.16920721614206063,0.12295158267387955,3.8615546226501465,0.0041246963664889336,6.924293567282753e-05,4,6.921552099187306e-05,6.924293567282753e-05,0.14878163284804033,0.0009201865102575565,0.12295158267387955,0.007960185026074092,3.8581740856170654,0.0,0.16209340205914124,455.0854724101959,0.0,0.0,0.0,0.0016064210393346623,1.164106673895334,0.007960185026074092,4,1.164106673895334,0.0009201865102575565,0.14882392785011103,0.12295158267387955,0.14874392534206046,0.0015917925891827168,0.14878163284804033,0.12295158267387955,0.12295158267387955,7.700373106786523e-05,0.0,10.0,200,0.0
5,0.18728178721043506,10.0,0.34145713604566946,0.0,0.0,0.012454530648213575,0.16169139844622704,20.37671532765757,0.00403594970703125,149.46150746038998,0.01,0.0,0.17211702436023002,0.0007089253285108074,5.692399978637695,0.15833838253421298,1,0.16185577768423492,0.005,0.34145713604566946,0.0,0.0,5,0.08007670585981479,0.08007670585981479,6.617414461997333e-06,200,0.0,1,1200000,0.14003428051912223,20.37671532765757,0.105,0.3414571360456698,0.0007089253285108074,6.197740978355035e-05,0.01,0.0,149.46150746038998,5,0.105,0.15833838253421298,0.005,0.14003428051912223,0.011699550042642368,1937.9165351873403,0.18728178721043506,0.3414571360456698,19.256763458251953,0.001689692260697484,6.6176414791793365e-06,5,6.617414461997333e-06,6.6176414791793365e-06,0.16176307557464983,0.0012175118120101454,0.3414571360456698,0.01658330363010767,19.252727508544922,0.0,0.17211702436023002,1937.9165351873403,0.0,0.0,0.0,0.012454530648213575,2.6797330596397484,0.01658330363010767,5,2.6797330596397484,0.0012175118120101454,0.16185577768423492,0.3414571360456698,0.16169139844622704,0.011699550042642368,0.16176307557464983,0.3414571360456698,0.3414571360456698,6.197740978355035e-05,0.0,10.0,200,0.0
6,0.17669131209027872,2.934398347904138,1.5107906481578837,0.0,0.0,0.185043680976077,0.07566986861000874,6.7060312983656445,0.0004277229309082031,20.112700176633968,0.0,0.0,0.1628720423700294,0.003808189906276719,5.697470664978027,0.153529161693346,1,0.1433410937214793,0.0,1.5107906481578837,0.0,0.0,6,0.09880916403225344,0.09880916403225344,5.242610447227077e-06,200,0.0,1,1400000,0.10806227341983714,6.7060312983656445,0.095,1.510790648157883,0.003808189906276719,7.722928935581534e-05,0.0,1.0,20.112700176633968,6,0.095,0.153529161693346,0.0,0.10806227341983714,0.07874836764846142,243.8805000719793,0.17669131209027872,1.510790648157883,3.9200031757354736,0.0010707320179790258,5.2429125569932465e-06,6,5.242610447227077e-06,5.2429125569932465e-06,0.09977800445950405,0.0013989464645469602,1.510790648157883,0.014026348086100546,3.9195754528045654,0.0,0.1628720423700294,243.8805000719793,1.0,0.0,0.0,0.185043680976077,2.479926072301719,0.014026348086100546,6,2.479926072301719,0.0013989464645469602,0.1433410937214793,1.510790648157883,0.07566986861000874,0.07874836764846142,0.09977800445950405,1.510790648157883,1.510790648157883,7.722928935581534e-05,0.0,2.934398347904138,200,0.0
7,0.1890803088376481,5.02671504403881,1.6646668345203026,0.0,0.0,0.014814311644599969,0.142670640490928,7.392321149382026,0.00021314620971679688,14.537874545546964,0.0,0.0,0.17181407899332057,0.003466272240140866,5.694869518280029,0.15500340108593558,1,0.14281137334162,0.0,1.6646668345203026,0.0,0.0,7,0.0929088582720619,0.0929088582720619,0.0009740407858473542,200,0.0,1,1600000,0.14298651184483788,7.392321149382026,0.125,1.6646668345203024,0.003466272240140866,5.636124093349679e-05,0.0,0.0,14.537874545546964,7,0.125,0.15500340108593558,0.0,0.14298651184483788,0.013604118913823206,113.63114960919063,0.1890803088376481,1.6646668345203024,4.25679874420166,0.0010731349466368556,0.0009797699776318812,7,0.0009740407858473542,0.0009797699776318812,0.14274068804203405,0.001096981667207545,1.6646668345203024,0.015719740926617525,4.256585597991943,0.0,0.17181407899332057,113.63114960919063,0.0,0.0,0.0,0.014814311644599969,2.8427461913072465,0.015719740926617525,7,2.8427461913072465,0.001096981667207545,0.14281137334162,1.6646668345203024,0.142670640490928,0.013604118913823206,0.14274068804203405,1.6646668345203024,1.6646668345203024,5.636124093349679e-05,0.0,5.02671504403881,200,0.0
8,0.18539675109214346,10.0,0.6601337521514579,0.0,0.0,0.015225022185089376,0.16438641206744406,12.291035570460558,0.0021886825561523438,76.90497582172861,0.01,0.0,0.16836882001959755,0.0013764216653194068,5.683456897735596,0.1536992328231441,1,0.16449868342750779,0.0,0.6601337521514579,0.0,0.0,8,0.12254793503213458,0.12254793503213458,1.654890166235249e-06,200,0.0,1,1800000,0.10266091321699694,12.291035570460558,0.105,0.6601337521514572,0.0013764216653194068,5.974111713428892e-05,0.01,0.0,76.90497582172861,8,0.105,0.1536992328231441,0.0,0.10266091321699694,0.01413182772211448,996.5190289004094,0.18539675109214346,0.6601337521514572,10.084935188293457,0.0016688213218003511,1.6549040768857726e-06,8,1.654890166235249e-06,1.6549040768857726e-06,0.16443969015527468,0.0009932090600513388,0.6601337521514572,0.011587402024311405,10.082746505737305,0.0,0.16836882001959755,996.5190289004094,0.0,0.0,0.0,0.015225022185089376,2.6650546454136452,0.011587402024311405,8,2.6650546454136452,0.0009932090600513388,0.16449868342750779,0.6601337521514572,0.16438641206744406,0.01413182772211448,0.16443969015527468,0.6601337521514572,0.6601337521514572,5.974111713428892e-05,0.0,10.0,200,0.0
9,0.20555207091040933,10.0,1.1188610812706608,0.0,0.0,0.026216925060570103,0.14949561264155226,36.47327045130543,0.009021759033203125,248.03205191443743,0.02,0.0,0.17616333932310865,0.00240451094935981,5.684150695800781,0.15310989958815374,1,0.1495539395401549,0.0,1.1188610812706608,0.0,0.0,9,0.09258733316960603,0.09258733316960603,0.000183477310400313,200,0.0,1,2000000,0.12356792749049568,36.47327045130543,0.125,1.1188610812706632,0.00240451094935981,1.6320439826907984e-05,0.02,0.0,248.03205191443743,9,0.125,0.15310989958815374,0.0,0.12356792749049568,0.02281435519213376,3107.096433813007,0.20555207091040933,1.1188610812706632,36.17091751098633,0.002612561685964465,0.00018366900246361175,9,0.000183477310400313,0.00018366900246361175,0.1495237442914749,0.0015954700234954808,1.1188610812706632,0.014894854210824624,36.161895751953125,0.0,0.17616333932310865,3107.096433813007,0.0,0.0,0.0,0.026216925060570103,3.689743017830962,0.014894854210824624,9,3.689743017830962,0.0015954700234954808,0.1495539395401549,1.1188610812706632,0.14949561264155226,0.02281435519213376,0.1495237442914749,1.1188610812706632,1.1188610812706632,1.6320439826907984e-05,0.0,10.0,200,0.0
