Average/MinReward,push-v2/EpisodeMeanMaxInPlaceReward,MetaTest/Average/EpisodeMeanInPlaceReward,push-v2/EpisodeMeanGraspReward,GaussianMLPPolicy/LossBefore,MetaTest/Average/MinReward,MetaTest/Average/NumEpisodes,push-v2/NumEpisodes,push-v2/MinReward,Average/MaxReturn,Average/TerminationRate,Average/EpisodeMeanMaxInPlaceReward,MetaTest/Average/GraspSuccessRate,MetaTest/Average/EpisodeMeanMaxGraspReward,MetaTest/Average/EpisodeMeanMaxInPlaceReward,MetaTest/push-v2/AverageReturn,GaussianMLPPolicy/KLBefore,MetaTest/push-v2/TerminationRate,Average/GraspSuccessRate,Average/Iteration,Average/NumEpisodes,push-v2/SuccessRate,push-v2/EpisodeMeanInPlaceReward,Iteration,Average/AverageReturn,push-v2/AverageDiscountedReturn,Average/NearObject,MetaTest/push-v2/GraspSuccessRate,MetaTest/push-v2/EpisodeMeanMaxGraspReward,MetaTest/Average/EpisodeMeanMinGraspReward,MetaTest/push-v2/MinReturn,push-v2/MaxReturn,Average/EpisodeMeanInPlaceReward,MetaTest/push-v2/EpisodeMeanMinGraspReward,MetaTest/push-v2/EpisodeMeanMinInPlaceReward,MetaTest/push-v2/NumEpisodes,push-v2/MinReturn,push-v2/AverageReturn,push-v2/GraspSuccessRate,GaussianMLPPolicy/KLAfter,GaussianMLPPolicy/LossAfter,MetaTest/Average/SuccessRate,MetaTest/Average/EpisodeMeanMinInPlaceReward,MetaTest/Average/AverageDiscountedReturn,MetaTest/push-v2/AverageDiscountedReturn,MetaTest/Average/MaxReward,MetaTest/push-v2/MaxReward,MetaTest/Average/EpisodeMeanGraspReward,Average/MaxReward,Average/MinReturn,push-v2/StdReturn,MetaTest/Average/MinReturn,Average/EpisodeMeanMaxGraspReward,push-v2/EpisodeMeanMaxGraspReward,MetaTest/push-v2/EpisodeMeanMaxInPlaceReward,push-v2/EpisodeMeanMinGraspReward,Average/StdReturn,GaussianMLPPolicy/Entropy,MetaTest/push-v2/Iteration,MetaTest/push-v2/SuccessRate,MetaTest/Average/AverageReturn,MetaTest/Average/MaxReturn,TotalEnvSteps,Average/EpisodeMeanMinGraspReward,MetaTest/push-v2/StdReturn,MetaTest/Average/TerminationRate,MetaTest/push-v2/MaxReturn,MetaTest/Average/StdReturn,push-v2/TerminationRate,Average/EpisodeMeanGraspReward,Average/SuccessRate,MetaTest/push-v2/EpisodeMeanGraspReward,MetaTest/push-v2/EpisodeMeanInPlaceReward,MetaTest/push-v2/MinReward,push-v2/MaxReward,push-v2/Iteration,Average/EpisodeMeanMinInPlaceReward,MetaTest/push-v2/NearObject,push-v2/EpisodeMeanMinInPlaceReward,GaussianMLPPolicy/dLoss,MetaTest/Average/NearObject,MetaTest/Average/Iteration,Average/AverageDiscountedReturn,push-v2/NearObject
4.344203911627374e-05,0.15727849759785315,0.18293635537168615,0.007847666581727022,3.5005218982696533,0.0006047042465863828,1,200,4.344203911627374e-05,35.95266092861268,0.0,0.15727849759785315,0.0,0.012698273456951712,0.18301290442608797,1.0906001264310317,0.0,0.0,0.0,0,200,0.0,0.15667731486035466,0,3.199476413945281,0.9425385509157842,0.005,0.0,0.012698273456951712,0.0006063424251222622,1.0906001264310317,35.95266092861268,0.15667731486035466,0.0006063424251222622,0.18284753401760276,1,0.11424812674909676,3.199476413945281,0.0,0.0018377365777269006,3.500049591064453,0.0,0.18284753401760276,1.0906001264310317,1.0906001264310317,0.012016759177686978,0.012016759177686978,0.0022416420395427396,1.9737898441893433,0.11424812674909676,4.730019403481586,1.0906001264310317,0.045065242287341455,0.045065242287341455,0.18301290442608797,0.0013190435869981263,4.730019403481586,5.689827919006348,0,0.0,1.0906001264310317,1.0906001264310317,200000,0.0013190435869981263,0.0,0.0,1.0906001264310317,0.0,0.0,0.007847666581727022,0.0,0.0022416420395427396,0.18293635537168615,0.0006047042465863828,1.9737898441893433,0,0.15613347737227684,0.0,0.15613347737227684,0.0004723072052001953,0.0,0,0.9425385509157842,0.005
4.372000263341761e-05,0.1614955091309973,0.1599779042701882,0.00665559128477535,2.9980576038360596,0.0002959947738440502,1,200,4.372000263341761e-05,17.1668383903229,0.0,0.1614955091309973,0.0,0.008853551198528148,0.1600227109983015,0.7014958019914966,0.0,0.0,0.0,1,200,0.0,0.16131460140769613,1,2.6675087207634225,0.8557014801423761,0.0,0.0,0.008853551198528148,0.0002964555274335166,0.7014958019914966,17.1668383903229,0.16131460140769613,0.0002964555274335166,0.15994399829568196,1,0.09322320728708447,2.6675087207634225,0.0,0.0018092303071171045,2.9980101585388184,0.0,0.15994399829568196,0.7014958019914955,0.7014958019914955,0.008460217660194494,0.008460217660194494,0.0014303156784799482,0.15482189102264496,0.09322320728708447,3.140029023545562,0.7014958019914966,0.04704302571653671,0.04704302571653671,0.1600227109983015,0.0007831004469180059,3.140029023545562,5.6931281089782715,1,0.0,0.7014958019914966,0.7014958019914966,400000,0.0007831004469180059,0.0,0.0,0.7014958019914966,0.0,0.0,0.00665559128477535,0.0,0.0014303156784799482,0.1599779042701882,0.0002959947738440502,0.15482189102264496,1,0.16115037955426095,0.0,0.16115037955426095,4.744529724121094e-05,0.0,1,0.8557014801423761,0.0
2.9135171487488714e-05,0.15973324503088207,0.1485197870194239,0.004300489979060811,2.257488489151001,0.00019739207768011105,1,200,2.9135171487488714e-05,12.797203582636628,0.0,0.15973324503088207,0.0,0.00836293427527801,0.14856731978710555,0.6332818089659784,0.0,0.0,0.0,2,200,0.0,0.15674938647779732,2,1.8203207535890271,0.6789382934803156,0.005,0.0,0.00836293427527801,0.00019761564523948787,0.6332818089659784,12.797203582636628,0.15674938647779732,0.00019761564523948787,0.14847639224897446,1,0.05627646127720407,1.8203207535890271,0.0,0.0020187520422041416,2.2572548389434814,0.0,0.14847639224897446,0.6332818089659783,0.6332818089659783,0.007980354212563781,0.007980354212563781,0.0012949229808341626,0.1385146575568101,0.05627646127720407,2.1511116791252003,0.6332818089659784,0.031812257329945456,0.031812257329945456,0.14856731978710555,0.0005385741141304648,2.1511116791252003,5.674590587615967,2,0.0,0.6332818089659784,0.6332818089659784,600000,0.0005385741141304648,0.0,0.0,0.6332818089659784,0.0,0.0,0.004300489979060811,0.0,0.0012949229808341626,0.1485197870194239,0.00019739207768011105,0.1385146575568101,2,0.15493332115110361,0.0,0.15493332115110361,0.00023365020751953125,0.0,2,0.6789382934803156,0.005
5.180012125764485e-05,0.15987031956191214,0.1636294884149693,0.004689729939424216,2.4321627616882324,7.30545295104253e-05,1,200,5.180012125764485e-05,31.996135693104907,0.0,0.15987031956191214,0.0,0.007193867992011625,0.16369838745567689,0.27650653936943487,0.0,0.0,0.0,3,200,0.0,0.1595953322959894,3,1.9435170202087042,0.6576686522977468,0.0,0.0,0.007193867992011625,7.3081822103666e-05,0.27650653936943487,31.996135693104907,0.1595953322959894,7.3081822103666e-05,0.1635575153468127,1,0.0777464175380224,1.9435170202087042,0.0,0.0006699369987472892,2.4321558475494385,0.0,0.1635575153468127,0.27650653936943453,0.27650653936943453,0.006938751993132128,0.006938751993132128,0.0005614573695470254,0.11817906282040241,0.0777464175380224,4.375865517024864,0.27650653936943487,0.02479119356076886,0.02479119356076886,0.16369838745567689,0.0009462215972658071,4.375865517024864,5.671360492706299,3,0.0,0.27650653936943487,0.27650653936943487,800000,0.0009462215972658071,0.0,0.0,0.27650653936943487,0.0,0.0,0.004689729939424216,0.0,0.0005614573695470254,0.1636294884149693,7.30545295104253e-05,0.11817906282040241,3,0.1594886830277941,0.0,0.1594886830277941,6.9141387939453125e-06,0.0,3,0.6576686522977468,0.0
2.9088475715764537e-05,0.15811114868970935,0.16454527736749835,0.0057417873618628625,2.8299145698547363,8.334036954704331e-05,1,200,2.9088475715764537e-05,85.63646168120002,0.0,0.15811114868970935,0.0,0.017523569233483437,0.16461130693780332,0.49445822969143965,0.0,0.0,0.0,4,200,0.0,0.15738970213873082,4,2.403649816038328,0.7343280775627133,0.01,0.0,0.017523569233483437,8.337566376167101e-05,0.49445822969143965,85.63646168120002,0.15738970213873082,8.337566376167101e-05,0.16445449386382177,1,0.04206143121848476,2.403649816038328,0.0,0.0017360603669658303,2.829343318939209,0.0,0.16445449386382177,0.49445822969144004,0.49445822969144004,0.016091738837619763,0.016091738837619763,0.0010446749224503058,1.4510094629418986,0.04206143121848476,7.108013336924679,0.49445822969143965,0.032718028184731685,0.032718028184731685,0.16461130693780332,0.0007640542042143157,7.108013336924679,5.68049955368042,4,0.0,0.49445822969143965,0.49445822969143965,1000000,0.0007640542042143157,0.0,0.0,0.49445822969143965,0.0,0.0,0.0057417873618628625,0.0,0.0010446749224503058,0.16454527736749835,8.334036954704331e-05,1.4510094629418986,4,0.15700794583733527,0.0,0.15700794583733527,0.0005712509155273438,0.0,4,0.7343280775627133,0.01
3.5320081311604606e-05,0.16092396902215306,0.17164158882471586,0.00669797362577913,2.9351916313171387,3.679390909450956e-05,1,200,3.5320081311604606e-05,42.489518834546736,0.0,0.16092396902215306,0.0,0.001826922464011027,0.17171160674325006,0.119164150661648,0.0,0.0,0.0,5,200,0.0,0.15648984776335279,5,2.7200681648528913,0.9354193062043551,0.025,0.0,0.001826922464011027,3.680044350486694e-05,0.119164150661648,42.489518834546736,0.15648984776335279,3.680044350486694e-05,0.1715754716996286,1,0.05431638524581499,2.7200681648528913,0.0,0.0018091413658112288,2.934870958328247,0.0,0.1715754716996286,0.11916415066164789,0.11916415066164789,0.0018109550069154408,0.0018109550069154408,0.00023936324254874612,2.0920209157073666,0.05431638524581499,5.152804107885779,0.119164150661648,0.049571271463539436,0.049571271463539436,0.17171160674325006,0.0006785312569371751,5.152804107885779,5.676065444946289,5,0.0,0.119164150661648,0.119164150661648,1200000,0.0006785312569371751,0.0,0.0,0.119164150661648,0.0,0.0,0.00669797362577913,0.0,0.00023936324254874612,0.17164158882471586,3.679390909450956e-05,2.0920209157073666,5,0.15352274066384272,0.0,0.15352274066384272,0.00032067298889160156,0.0,5,0.9354193062043551,0.025
4.33731204725378e-05,0.15839511692056576,0.18403930918117892,0.0031876367037590027,1.8097445964813232,0.0001508828561731372,1,200,4.33731204725378e-05,12.660220668626046,0.0,0.15839511692056576,0.0,0.004858242818315467,0.18412987686724974,0.17794067722098145,0.0,0.0,0.0,6,200,0.0,0.15823238722469596,6,1.3212394472566868,0.5961938131368997,0.005,0.0,0.004858242818315467,0.00015098384448011457,0.17794067722098145,12.660220668626046,0.15823238722469596,0.00015098384448011457,0.18395163922002808,1,0.0647303784100616,1.3212394472566868,0.0,0.001064369804225862,1.8096119165420532,0.0,0.18395163922002808,0.1779406772209815,0.1779406772209815,0.004755803055270716,0.004755803055270716,0.00035813973279948943,0.136106911456958,0.0647303784100616,1.9842502505932769,0.17794067722098145,0.025198135620954222,0.025198135620954222,0.18412987686724974,0.0005072165338300132,1.9842502505932769,5.675824165344238,6,0.0,0.17794067722098145,0.17794067722098145,1400000,0.0005072165338300132,0.0,0.0,0.17794067722098145,0.0,0.0,0.0031876367037590027,0.0,0.00035813973279948943,0.18403930918117892,0.0001508828561731372,0.136106911456958,6,0.15805091058501808,0.0,0.15805091058501808,0.00013267993927001953,0.0,6,0.5961938131368997,0.005
2.9019847703526716e-05,0.16005321340908793,0.1746098104183594,0.003300410044215666,1.8396937847137451,8.448842039688891e-05,1,200,2.9019847703526716e-05,15.102335269194048,0.0,0.16005321340908793,0.0,0.007925299774980292,0.17466759295769696,0.41223881688820946,0.0,0.0,0.0,7,200,0.0,0.15969014722688807,7,1.3160948060774973,0.5321644965625597,0.0,0.0,0.007925299774980292,8.452217190375783e-05,0.41223881688820946,15.102335269194048,0.15969014722688807,8.452217190375783e-05,0.1745384765794527,1,0.046127355818846624,1.3160948060774973,0.0,0.0011685050558298826,1.8395793437957764,0.0,0.1745384765794527,0.412238816888209,0.412238816888209,0.007639020963072869,0.007639020963072869,0.0008389068437330227,0.14767401667452848,0.046127355818846624,2.261466580517711,0.41223881688820946,0.028573090974277498,0.028573090974277498,0.17466759295769696,0.0003663998940378226,2.261466580517711,5.669530391693115,7,0.0,0.41223881688820946,0.41223881688820946,1600000,0.0003663998940378226,0.0,0.0,0.41223881688820946,0.0,0.0,0.003300410044215666,0.0,0.0008389068437330227,0.1746098104183594,8.448842039688891e-05,0.14767401667452848,7,0.15936747282420233,0.0,0.15936747282420233,0.00011444091796875,0.0,7,0.5321644965625597,0.0
4.313481049524486e-05,0.16176021691150513,0.14207614767459517,0.005506403407002095,2.601567506790161,6.216519175562642e-05,1,200,4.313481049524486e-05,95.7975794886845,0.0,0.16176021691150513,0.0,0.0022870916149806027,0.14212493840225351,0.11577792670169468,0.0,0.0,0.0,8,200,0.0,0.16013673084883626,8,2.3965004180313967,0.9749966266394641,0.01,0.0,0.0022870916149806027,6.218853829870271e-05,0.11577792670169468,95.7975794886845,0.16013673084883626,6.218853829870271e-05,0.14203558114982645,1,0.05783201262963262,2.3965004180313967,0.0,0.0010530498111620545,2.601226806640625,0.0,0.14203558114982645,0.1157779267016948,0.1157779267016948,0.0022559341666282913,0.0022559341666282913,0.00023296203167147422,2.1974767692323978,0.05783201262963262,7.367970263475836,0.11577792670169468,0.04282619225387614,0.04282619225387614,0.14212493840225351,0.0005760217660467913,7.367970263475836,5.677854537963867,8,0.0,0.11577792670169468,0.11577792670169468,1800000,0.0005760217660467913,0.0,0.0,0.11577792670169468,0.0,0.0,0.005506403407002095,0.0,0.00023296203167147422,0.14207614767459517,6.216519175562642e-05,2.1974767692323978,8,0.15885338920298975,0.0,0.15885338920298975,0.0003407001495361328,0.0,8,0.9749966266394641,0.01
2.9054255835581127e-05,0.15880142672186545,0.15252063510950886,0.003057393861532514,1.8818204402923584,6.556433050280919e-05,1,200,2.9054255835581127e-05,15.846261943123606,0.0,0.15880142672186545,0.0,0.019312348092518302,0.15255910814597534,0.42751253713037785,0.0,0.0,0.0,9,200,0.0,0.1587476144105944,9,1.2911722988283605,0.5183748735837787,0.0,0.0,0.019312348092518302,6.55882242273214e-05,0.42751253713037785,15.846261943123606,0.1587476144105944,6.55882242273214e-05,0.15246556045413495,1,0.04182749192196881,1.2911722988283605,0.0,0.000454373104730621,1.8817297220230103,0.0,0.15246556045413495,0.42751253713037807,0.42751253713037807,0.017440517031780994,0.017440517031780994,0.0009214291410404163,0.11570344213250632,0.04182749192196881,2.5421110047791284,0.42751253713037785,0.02112067625435453,0.02112067625435453,0.15255910814597534,0.0004547646678494058,2.5421110047791284,5.678560733795166,9,0.0,0.42751253713037785,0.42751253713037785,2000000,0.0004547646678494058,0.0,0.0,0.42751253713037785,0.0,0.0,0.003057393861532514,0.0,0.0009214291410404163,0.15252063510950886,6.556433050280919e-05,0.11570344213250632,9,0.15869338605497688,0.0,0.15869338605497688,9.071826934814453e-05,0.0,9,0.5183748735837787,0.0
