Evaluation/EpisodeMeanMinGraspReward,Evaluation/GraspSuccessRate,Evaluation/EpisodeMeanInPlaceReward,GaussianMLPValueFunction/LossAfter,Evaluation/TerminationRate,GaussianMLPPolicy/Entropy,Evaluation/Iteration,TotalEnvSteps,GaussianMLPPolicy/LossBefore,GaussianMLPPolicy/LossAfter,Evaluation/MinReward,Evaluation/AverageDiscountedReturn,Evaluation/StdReturn,Evaluation/NearObject,GaussianMLPValueFunction/LossBefore,GaussianMLPPolicy/KLBefore,GaussianMLPValueFunction/dLoss,GaussianMLPPolicy/dLoss,Evaluation/NumEpisodes,Evaluation/EpisodeMeanGraspReward,Evaluation/MinReturn,GaussianMLPPolicy/KL,Evaluation/EpisodeMeanMinInPlaceReward,Evaluation/EpisodeMeanMaxInPlaceReward,Evaluation/SuccessRate,Evaluation/EpisodeMeanMaxGraspReward,Evaluation/AverageReturn,Evaluation/MaxReward,Evaluation/MaxReturn
2.6455223173885296e-05,0.0,0.14276977228868384,0.1465214639902115,0.0,5.565900802612305,0,25000,-1.0466684103012085,-1.0479744672775269,1.913948670029529e-09,1.3145339618074083,1.2395479762703416,0.0,1.143494963645935,0.0,0.9969734996557236,0.0013060569763183594,50,0.010968161617211558,2.20824374900291,0.008272684179246426,0.14273407471419294,0.14310638783405344,0.0,0.06690380537816754,4.948737295308709,0.12607678318789592,8.260640096556683
2.455801996577842e-05,0.0,0.14277432963392855,-0.2878563404083252,0.0,5.455390453338623,1,50000,-0.9207826852798462,-0.9221264123916626,7.118781585205315e-09,1.229424155052544,1.2176462520699383,0.0,0.9585529565811157,0.0,1.246409296989441,0.0013437271118164062,50,0.009428242318968274,2.7572167888992323,0.008743563666939735,0.14205032635986814,0.14341483103282737,0.0,0.05969014662010284,4.28133753027032,0.09683185532133051,8.59822560614032
2.0740825664683384e-05,0.0,0.14787874790054056,-0.32851681113243103,0.0,5.351435661315918,2,75000,-0.8831219673156738,-0.8857168555259705,5.5447016600746026e-08,1.2948778820112843,0.9902965045499494,0.0,-0.17360062897205353,0.0,0.1549161821603775,0.002594888210296631,50,0.009466998342990508,2.369225682722875,0.006609141360968351,0.14777538491284062,0.14835256124351043,0.0,0.06822836477452571,4.269968181662615,0.09626892093464973,7.270475489752978
1.4224119604870924e-05,0.0,0.14196513181481574,0.40267297625541687,0.0,5.302154541015625,3,100000,-0.8946934938430786,-0.8960092067718506,1.7463649281545745e-09,1.6233685674106844,1.9644724821340904,0.04,3.430405855178833,0.0,3.027732878923416,0.0013157129287719727,50,0.013073080402746122,2.736294001302915,0.0038396979216486216,0.13940254837700375,0.14385370315913729,0.0,0.09942157987459856,5.2358796737981494,0.14110342074060617,13.295091561704977
1.4026462495003384e-05,0.0,0.14284399190282074,0.07551470398902893,0.0,5.241915225982666,4,125000,-0.8749741911888123,-0.8766565918922424,2.608617637104088e-11,1.4633950044829198,1.4747859329498663,0.0,0.3183375298976898,0.0,0.2428228259086609,0.0016824007034301758,50,0.012293699737279128,2.791172687054254,0.005144357681274414,0.14273159199759036,0.1432205909218962,0.0,0.07495299993751908,5.410405355454555,0.11994803837489995,11.663001630775888
1.5865104698312748e-05,0.0,0.1458316706412951,0.018947646021842957,0.0,5.1496500968933105,5,150000,-0.8623795509338379,-0.8641955256462097,1.234971591816825e-09,1.6608644201538618,1.2663984218541786,0.02,0.5195281505584717,0.0,0.5005805045366287,0.0018159747123718262,50,0.013720638277128565,3.023539581980503,0.007888803258538246,0.1446669562355258,0.14663108535808653,0.0,0.10442613386651071,5.860677073723013,0.16067591239948298,8.60904774409795
2.2732818620026325e-05,0.0,0.1508852923564574,0.25160810351371765,0.0,5.051590442657471,6,175000,-0.84752357006073,-0.8490308523178101,1.360744900652515e-08,1.7557865789311051,1.792120203006588,0.08,0.8402281999588013,0.0,0.5886200964450836,0.0015072822570800781,50,0.015475559750014436,3.114979368019156,0.008408153429627419,0.143648015046074,0.16581769265964388,0.0,0.12034698749905084,6.349574619561438,0.13792879049838547,11.871991368890537
1.83732606335511e-05,0.0,0.14304457050298416,0.4051378071308136,0.0,4.956962585449219,7,200000,-0.829047679901123,-0.8309028148651123,1.3747556780714528e-08,1.9552623791102197,1.0864484748745349,0.14,0.9667259454727173,0.0,0.5615881383419037,0.0018551349639892578,50,0.018937569835914124,4.601789707387317,0.006190530490130186,0.1347424915315913,0.15054931751692552,0.0,0.15966780791716395,7.434603108081138,0.1345144820807329,11.657377455969206
3.4370151540098346e-05,0.0,0.14458784302407732,1.775138258934021,0.0,4.832620620727539,8,225000,-0.8401132225990295,-0.842165470123291,5.375113470767354e-12,2.088252726779588,8.162770042799282,0.06,10.659734725952148,0.0,8.884596467018127,0.0020522475242614746,50,0.024798632302075872,4.724418414632435,0.01023783441632986,0.13229636338243614,0.1552289952380927,0.0,0.154953878205306,8.659328559407378,2.1021900968643026,65.01320080254196
6.42096658251189e-06,0.0,0.15208580308805664,0.8566567897796631,0.0,4.748106956481934,9,250000,-0.8849503993988037,-0.8880911469459534,8.425718545234216e-10,2.327816832093545,2.6004000651086323,0.14,2.646836757659912,0.0,1.790179967880249,0.003140747547149658,50,0.02363117899865668,5.654070862307106,0.00690204044803977,0.13973935526818798,0.16849288237716054,0.0,0.20490002352413783,8.433928779044535,0.17281109175571038,22.32286128337905
9.645644979230758e-06,0.0,0.16653203192097782,1.3243801593780518,0.0,4.682408332824707,10,275000,-0.7852427959442139,-0.7869335412979126,9.678311731648586e-09,2.653994121196796,6.7386472136536675,0.14,3.9704830646514893,0.0,2.6461029052734375,0.0016907453536987305,50,0.027922901796417005,5.355634832751107,0.003437142353504896,0.13649477661530376,0.18500982053646112,0.02,0.20681343670994473,9.826733323532473,0.3430101188180947,47.717152764850894
