Average/MinReward,Average/EpisodeMeanInPlaceReward,pick-place-v2/MaxReward,pick-place-v2/EpisodeMeanMaxGraspReward,pick-place-v2/MinReward,Average/MaxReturn,MetaTest/pick-place-v2/EpisodeMeanMinGraspReward,Average/TerminationRate,MetaTest/pick-place-v2/MinReturn,MetaTest/Average/NearObject,GaussianMLPPolicy/dLoss,pick-place-v2/EpisodeMeanMinInPlaceReward,Average/EpisodeMeanMaxInPlaceReward,MetaTest/pick-place-v2/MinReward,pick-place-v2/TerminationRate,MetaTest/pick-place-v2/EpisodeMeanInPlaceReward,MetaTest/pick-place-v2/SuccessRate,MetaTest/pick-place-v2/EpisodeMeanGraspReward,GaussianMLPPolicy/KLAfter,MetaTest/pick-place-v2/EpisodeMeanMaxGraspReward,pick-place-v2/EpisodeMeanGraspReward,MetaTest/Average/GraspSuccessRate,GaussianMLPPolicy/LossAfter,MetaTest/pick-place-v2/NearObject,TotalEnvSteps,Average/AverageDiscountedReturn,Average/NearObject,pick-place-v2/StdReturn,MetaTest/pick-place-v2/MaxReturn,MetaTest/pick-place-v2/GraspSuccessRate,MetaTest/pick-place-v2/StdReturn,pick-place-v2/NearObject,Average/AverageReturn,Average/EpisodeMeanMinGraspReward,pick-place-v2/EpisodeMeanMaxInPlaceReward,MetaTest/pick-place-v2/TerminationRate,MetaTest/Average/TerminationRate,MetaTest/Average/EpisodeMeanMaxInPlaceReward,GaussianMLPPolicy/Entropy,MetaTest/Average/MinReturn,MetaTest/pick-place-v2/MaxReward,MetaTest/Average/SuccessRate,pick-place-v2/NumEpisodes,pick-place-v2/Iteration,Average/SuccessRate,MetaTest/pick-place-v2/Iteration,MetaTest/pick-place-v2/EpisodeMeanMaxInPlaceReward,pick-place-v2/SuccessRate,MetaTest/Average/StdReturn,MetaTest/Average/EpisodeMeanGraspReward,Average/EpisodeMeanMinInPlaceReward,MetaTest/pick-place-v2/EpisodeMeanMinInPlaceReward,MetaTest/Average/EpisodeMeanMaxGraspReward,Iteration,MetaTest/pick-place-v2/AverageReturn,pick-place-v2/EpisodeMeanInPlaceReward,Average/NumEpisodes,Average/GraspSuccessRate,pick-place-v2/GraspSuccessRate,Average/EpisodeMeanMaxGraspReward,pick-place-v2/MinReturn,MetaTest/Average/Iteration,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/MaxReturn,MetaTest/Average/EpisodeMeanInPlaceReward,MetaTest/Average/MinReward,GaussianMLPPolicy/LossBefore,MetaTest/Average/EpisodeMeanMinInPlaceReward,pick-place-v2/EpisodeMeanMinGraspReward,GaussianMLPPolicy/KLBefore,pick-place-v2/AverageReturn,pick-place-v2/AverageDiscountedReturn,Average/Iteration,pick-place-v2/MaxReturn,MetaTest/pick-place-v2/NumEpisodes,MetaTest/Average/NumEpisodes,MetaTest/Average/MaxReward,MetaTest/Average/EpisodeMeanMinGraspReward,MetaTest/pick-place-v2/AverageDiscountedReturn,Average/EpisodeMeanGraspReward,MetaTest/Average/AverageReturn,Average/MinReturn,Average/MaxReward,Average/StdReturn
7.686071253420346e-10,0.14428611684590478,0.17833587731097367,0.10707811284207244,7.686071253420346e-10,16.432323349163095,3.7541969161904408e-06,0.0,3.1298841654740683,0.4,0.001651763916015625,0.13973323933402287,0.14972891597069915,3.550673076062267e-10,0.0,0.1386155855311066,0.0,0.03085342898570283,0.009784767404198647,0.3477765472563242,0.009332650110689674,0.0,-1.640608549118042,0.4,200000,1.5056030303290666,0.025,1.4426270924825029,29.9243051700705,0.0,7.397347444476069,0.025,3.803562876901659,1.6000802645199294e-05,0.14972891597069915,0.0,0.0,0.1534374496933341,5.671600818634033,3.1298841654740683,0.1807707606706377,0.0,200,0,0.0,0,0.1534374496933341,0.0,7.397347444476069,0.03085342898570283,0.13973323933402287,0.12298054545405782,0.3477765472563242,0,8.610309187838453,0.14428611684590478,200,0.0,0.0,0.10707811284207244,2.019074886523681,0,8.61030918783845,29.9243051700705,0.1386155855311066,3.550673076062267e-10,-1.6389567852020264,0.12298054545405782,1.6000802645199294e-05,0.0,3.803562876901659,1.5056030303290666,0,16.432323349163095,10,10,0.1807707606706377,3.7541969161904408e-06,8.61030918783845,0.009332650110689674,8.610309187838453,2.019074886523681,0.17833587731097367,1.4426270924825029
1.0394766723933891e-10,0.14659642073621929,2.262245180686689,0.2204878281335334,1.0394766723933891e-10,42.44734768269099,9.041705838718e-06,0.0,3.2061540605485077,0.0,0.0001589059829711914,0.1327860998986415,0.16028942926734488,5.6439352181302625e-11,0.0,0.13551179717511722,0.0,0.011540785113536543,0.0040146163664758205,0.12276024409791557,0.021999199551869925,0.0,1.7811838388442993,0.0,400000,2.3360224948269384,0.18,4.772914058308744,6.318002062188005,0.0,1.1502301049104153,0.18,7.076002763458408,6.940428057463269e-05,0.16028942926734488,0.0,0.0,0.14933273433140057,5.644985675811768,3.2061540605485077,0.10179757631404429,0.0,200,1,0.0,1,0.14933273433140057,0.0,1.1502301049104153,0.011540785113536543,0.1327860998986415,0.13079628774704904,0.12276024409791557,1,4.654852944039503,0.14659642073621929,200,0.0,0.0,0.2204878281335334,2.0436195281644336,1,4.6548529440395034,6.318002062188005,0.13551179717511722,5.6439352181302625e-11,1.7813427448272705,0.13079628774704904,6.940428057463269e-05,0.0,7.076002763458408,2.3360224948269384,1,42.44734768269099,10,10,0.10179757631404429,9.041705838718e-06,4.6548529440395034,0.021999199551869925,4.654852944039503,2.0436195281644336,2.262245180686689,4.772914058308744
2.5270696039381045e-13,0.1448491862880136,2.264930675124001,0.20702685582335442,2.5270696039381045e-13,50.68591577472598,3.7859921372221158e-06,0.0,3.103395884479265,0.1,0.0003669261932373047,0.13214867476219122,0.16088928218389448,4.225926775822392e-10,0.0,0.15976477320809762,0.0,0.01951041541490151,0.003998465836048126,0.17720394240932677,0.02070438905320955,0.0,1.8652000427246094,0.1,600000,2.2090062404267226,0.175,5.605848211744545,13.016636847591592,0.0,3.1772310901278558,0.175,7.086428535258006,4.704385964779943e-05,0.16088928218389448,0.0,0.0,0.1676266602355322,5.6598429679870605,3.103395884479265,0.22581840178424667,0.0,200,2,0.0,2,0.1676266602355322,0.0,3.1772310901278558,0.01951041541490151,0.13214867476219122,0.1434773689145857,0.17720394240932677,2,7.289226322284475,0.1448491862880136,200,0.005,0.005,0.20702685582335442,2.091495179650507,2,7.2892263222844775,13.016636847591592,0.15976477320809762,4.225926775822392e-10,1.8655669689178467,0.1434773689145857,4.704385964779943e-05,0.0,7.086428535258006,2.2090062404267226,2,50.68591577472598,10,10,0.22581840178424667,3.7859921372221158e-06,7.2892263222844775,0.02070438905320955,7.289226322284475,2.091495179650507,2.264930675124001,5.605848211744545
4.624744478309742e-12,0.1445079649898345,0.2882836200579292,0.23812577176589264,4.624744478309742e-12,25.046491748647046,7.066482714238835e-06,0.0,3.5629437622186826,0.1,0.0005331039428710938,0.12964058802552905,0.16066275671666827,1.5310224984453228e-11,0.0,0.13719743827208675,0.0,0.022368755144363338,0.003988550044596195,0.1656775351597895,0.023647373662668364,0.0,1.8366512060165405,0.1,800000,2.41649846082751,0.25,4.4071883225576585,25.386290349181238,0.0,6.087894234457387,0.25,7.3286947683448345,3.9548446240860786e-05,0.16066275671666827,0.0,0.0,0.14360891083097935,5.652900695800781,3.5629437622186826,0.1720842953299039,0.0,200,3,0.0,3,0.14360891083097935,0.0,6.087894234457387,0.022368755144363338,0.12964058802552905,0.13004944473409558,0.1656775351597895,3,7.417775424473442,0.1445079649898345,200,0.0,0.0,0.23812577176589264,2.5609691996887856,3,7.4177754244734455,25.386290349181238,0.13719743827208675,1.5310224984453228e-11,1.8371843099594116,0.13004944473409558,3.9548446240860786e-05,0.0,7.3286947683448345,2.41649846082751,3,25.046491748647046,10,10,0.1720842953299039,7.066482714238835e-06,7.4177754244734455,0.023647373662668364,7.417775424473442,2.5609691996887856,0.2882836200579292,4.4071883225576585
1.2854648828772777e-10,0.14868218129364227,2.1615040287698686,0.20013590823341865,1.2854648828772777e-10,24.264831924685886,6.820482811644148e-06,0.0,3.7731983561572835,0.0,0.0005065202713012695,0.12941018566969092,0.17078801808065186,6.350762703438042e-09,0.0,0.14560055911099012,0.0,0.01501099921355208,0.0058904653415083885,0.11685452590176144,0.021293289685846286,0.0,1.9507614374160767,0.0,1000000,2.188112864892981,0.185,3.8832075626639586,11.542819510321674,0.0,2.267062088994763,0.185,7.020071350704136,1.962883595244382e-05,0.17078801808065186,0.0,0.0,0.17197651963995247,5.658085823059082,3.7731983561572835,0.1065838587739094,0.0,200,4,0.0,4,0.17197651963995247,0.0,2.267062088994763,0.01501099921355208,0.12941018566969092,0.13284306320712305,0.11685452590176144,4,6.263829326211431,0.14868218129364227,200,0.0,0.0,0.20013590823341865,1.7991541271798484,4,6.263829326211427,11.542819510321674,0.14560055911099012,6.350762703438042e-09,1.951267957687378,0.13284306320712305,1.962883595244382e-05,0.0,7.020071350704136,2.188112864892981,4,24.264831924685886,10,10,0.1065838587739094,6.820482811644148e-06,6.263829326211427,0.021293289685846286,6.263829326211431,1.7991541271798484,2.1615040287698686,3.8832075626639586
7.649743879032808e-11,0.14407947592070527,2.078238281473744,0.24901877694774135,7.649743879032808e-11,41.09150107786423,9.006384052507286e-06,0.0,3.4044739419252457,0.2,0.0008897781372070312,0.12690750229237985,0.16587046341431425,3.131884755727494e-08,0.0,0.14010071811327132,0.0,0.027079025377628314,0.009380416013300419,0.18551956156593324,0.027685811488124365,0.1,3.0208687782287598,0.2,1200000,2.4713778760267955,0.265,5.745582646668417,16.9696667844808,0.1,4.397022132790761,0.265,8.27435591975194,0.000160476134422099,0.16587046341431425,0.0,0.0,0.15389284175296494,5.674925804138184,3.4044739419252457,0.12100146668568137,0.0,200,5,0.005,5,0.15389284175296494,0.005,4.397022132790761,0.027079025377628314,0.12690750229237985,0.13464966646201956,0.18551956156593324,5,7.750396622542693,0.14407947592070527,200,0.01,0.01,0.24901877694774135,1.3900888807230003,5,7.750396622542691,16.9696667844808,0.14010071811327132,3.131884755727494e-08,3.021758556365967,0.13464966646201956,0.000160476134422099,0.0,8.27435591975194,2.4713778760267955,5,41.09150107786423,10,10,0.12100146668568137,9.006384052507286e-06,7.750396622542691,0.027685811488124365,7.750396622542693,1.3900888807230003,2.078238281473744,5.745582646668417
3.111076973449843e-12,0.1411650368725096,2.0954935550126224,0.2528704800738818,3.111076973449843e-12,68.36747204525875,2.998103264686315e-06,0.0,5.633177930932994,0.3,0.0003275871276855469,0.12547036135022435,0.16046927079470089,8.831366048205188e-11,0.0,0.14284468605365525,0.0,0.034892662083892065,0.008262291550636292,0.29739126130771526,0.025392698497758763,0.0,2.836188793182373,0.3,1400000,2.4387131188261093,0.28,6.59919003353818,22.489092527643123,0.0,5.767613810880546,0.28,8.082535708638966,0.00021235635338713517,0.16046927079470089,0.0,0.0,0.1542061284371135,5.735779285430908,5.633177930932994,0.18929602154356556,0.0,200,6,0.0,6,0.1542061284371135,0.0,5.767613810880546,0.034892662083892065,0.12547036135022435,0.13338193058751666,0.29739126130771526,6,9.771334992783896,0.1411650368725096,200,0.015,0.015,0.2528704800738818,1.1922157055758864,6,9.771334992783896,22.489092527643123,0.14284468605365525,8.831366048205188e-11,2.8365163803100586,0.13338193058751666,0.00021235635338713517,0.0,8.082535708638966,2.4387131188261093,6,68.36747204525875,10,10,0.18929602154356556,2.998103264686315e-06,9.771334992783896,0.025392698497758763,9.771334992783896,1.1922157055758864,2.0954935550126224,6.59919003353818
9.289184137888501e-13,0.1456100518929743,1.6759478421233471,0.27307417511826826,9.289184137888501e-13,43.32641258058559,0.0005388201979589652,0.0,2.8616083275169335,0.3,0.0001621246337890625,0.12418285195678648,0.1706769927098982,8.33216757546538e-12,0.0,0.1445012502628516,0.0,0.039265213246108446,0.009836748242378235,0.34972947114884817,0.02875277001116762,0.0,3.505495548248291,0.3,1600000,2.5498098320213334,0.29,5.620861544607533,28.391177173763428,0.0,7.913659215399385,0.29,8.617565426142392,7.56215164549585e-05,0.1706769927098982,0.0,0.0,0.16436783460115154,5.752555847167969,2.8616083275169335,0.23985167519326364,0.0,200,7,0.0,7,0.16436783460115154,0.0,7.913659215399385,0.039265213246108446,0.12418285195678648,0.11768175615734414,0.34972947114884817,7,10.981260310491196,0.1456100518929743,200,0.0,0.0,0.27307417511826826,2.3137733510891363,7,10.981260310491198,28.391177173763428,0.1445012502628516,8.33216757546538e-12,3.50565767288208,0.11768175615734414,7.56215164549585e-05,0.0,8.617565426142392,2.5498098320213334,7,43.32641258058559,10,10,0.23985167519326364,0.0005388201979589652,10.981260310491198,0.02875277001116762,10.981260310491196,2.3137733510891363,1.6759478421233471,5.620861544607533
2.9346505727627383e-12,0.14150837080053555,2.0340276710762195,0.3076487362526202,2.9346505727627383e-12,53.39866203218543,9.983203958411857e-06,0.0,4.66635932552669,0.4,0.00023555755615234375,0.1196767506068716,0.1677218246100331,3.0711444259707014e-10,0.0,0.13223666420766605,0.0,0.03875330890663579,0.008333052508533001,0.4785909308617685,0.0331897716746757,0.1,4.65762996673584,0.4,1800000,2.7202009413999817,0.35,6.4363470103723515,39.8726960389842,0.1,10.397188839930925,0.35,9.619406068614548,0.00016220756477913358,0.1677218246100331,0.0,0.0,0.16330530694901585,5.7936906814575195,4.66635932552669,2.05431182141478,0.0,200,8,0.005,8,0.16330530694901585,0.005,10.397188839930925,0.03875330890663579,0.1196767506068716,0.11282293000242691,0.4785909308617685,8,12.789070935645451,0.14150837080053555,200,0.025,0.025,0.3076487362526202,1.7675284594993301,8,12.78907093564546,39.8726960389842,0.13223666420766605,3.0711444259707014e-10,4.657865524291992,0.11282293000242691,0.00016220756477913358,0.0,9.619406068614548,2.7202009413999817,8,53.39866203218543,10,10,2.05431182141478,9.983203958411857e-06,12.78907093564546,0.0331897716746757,12.789070935645451,1.7675284594993301,2.0340276710762195,6.4363470103723515
5.690738723299135e-11,0.1446539742125089,2.4820326223270905,0.289040148482051,5.690738723299135e-11,99.45427424963172,1.6621691549963848e-05,0.0,4.4105404879743935,0.2,0.00054168701171875,0.12202620790192985,0.176940063999106,4.258059655262337e-10,0.0,0.13794895002726934,0.0,0.03039146780729608,0.0025774314999580383,0.2359724249212813,0.02971583680715277,0.0,4.100990295410156,0.2,2000000,2.448044382866159,0.29,7.956727118889656,24.203650698778908,0.0,6.294719242750882,0.29,8.919256114242966,0.00024244946754288477,0.176940063999106,0.0,0.0,0.16675930398292532,5.80142068862915,4.4105404879743935,0.14423091154732315,0.0,200,9,0.0,9,0.16675930398292532,0.0,6.294719242750882,0.03039146780729608,0.12202620790192985,0.10823786851992998,0.2359724249212813,9,10.007302154615688,0.1446539742125089,200,0.005,0.005,0.289040148482051,2.304213680677639,9,10.007302154615687,24.203650698778908,0.13794895002726934,4.258059655262337e-10,4.101531982421875,0.10823786851992998,0.00024244946754288477,0.0,8.919256114242966,2.448044382866159,9,99.45427424963172,10,10,0.14423091154732315,1.6621691549963848e-05,10.007302154615687,0.02971583680715277,10.007302154615688,2.304213680677639,2.4820326223270905,7.956727118889656
