GaussianMLPPolicy/Entropy,Evaluation/AverageDiscountedReturn,GaussianMLPPolicy/LossAfter,Evaluation/NumEpisodes,GaussianMLPValueFunction/dLoss,Evaluation/MinReturn,GaussianMLPValueFunction/LossBefore,GaussianMLPValueFunction/LossAfter,GaussianMLPPolicy/KLBefore,Evaluation/SuccessRate,Evaluation/EpisodeMeanMinGraspReward,Evaluation/EpisodeMeanMaxInPlaceReward,GaussianMLPPolicy/LossBefore,Evaluation/MaxReturn,Evaluation/EpisodeMeanGraspReward,Evaluation/EpisodeMeanMinInPlaceReward,Evaluation/Iteration,Evaluation/EpisodeMeanMaxGraspReward,Evaluation/MinReward,GaussianMLPPolicy/KL,Evaluation/StdReturn,Evaluation/TerminationRate,TotalEnvSteps,Evaluation/MaxReward,Evaluation/AverageReturn,Evaluation/EpisodeMeanInPlaceReward,Evaluation/GraspSuccessRate,GaussianMLPPolicy/dLoss,Evaluation/NearObject
5.565550804138184,0.8052099616310151,-1.0698660612106323,50,1.1800867170477432,1.4726942527938343,1.1800979375839233,1.122053618018981e-05,0.0,0.0,1.961231901446283e-05,0.14417668291057115,-1.068084955215454,4.330652931002308,0.0054713722978674715,0.143824484997312,0,0.02508906843313799,1.635422925050379e-14,0.009015142917633057,0.6307157051074697,0.0,25000,0.04602625666022461,2.5888808079317367,0.14386266389494623,0.0,0.0017811059951782227,0.0
5.48325252532959,0.8203304897407329,-0.9139126539230347,50,0.7977901240810752,1.4388843035443193,-0.006220445968210697,-0.8040105700492859,0.0,0.0,1.7408797004731452e-05,0.1449337135581785,-0.9138382077217102,4.033134319521837,0.004795775835409841,0.1446300344239361,1,0.028015680434270093,9.730467503682096e-10,0.0077830213122069836,0.5348871088749289,0.0,50000,0.044249405773871195,2.266451536559447,0.144669940129529,0.0,7.444620132446289e-05,0.0
5.412065505981445,0.8077253407466717,-0.8904240727424622,50,0.2920733690261841,1.2795026698951666,-0.6474542617797852,-0.9395276308059692,0.0,0.0,1.195875882583709e-05,0.1496680351791223,-0.8890397548675537,3.55507411857114,0.004674552595570248,0.14931956396782728,2,0.02819701116826212,7.639952193016095e-10,0.004793086089193821,0.514581576899857,0.0,75000,0.055647604842068904,2.2030557962460686,0.14936117725353595,0.0,0.0013843178749084473,0.0
5.355969429016113,0.8261362151216951,-0.8923084139823914,50,0.43404316902160645,1.1325565544766185,-0.4286012053489685,-0.862644374370575,0.0,0.0,9.103679853427939e-06,0.14071119897349646,-0.8915407657623291,4.128330059458573,0.004659773530393944,0.1404120882008668,3,0.027838146663695485,3.512218103679069e-09,0.005879847798496485,0.7348414513548751,0.0,100000,0.047892167195361386,2.177084894152387,0.14044644859304875,0.0,0.0007676482200622559,0.0
5.249392509460449,0.8246059147786903,-0.8814637660980225,50,0.1825850009918213,1.0991324916740886,-0.7048866152763367,-0.887471616268158,0.0,0.0,7.767940703328885e-06,0.14289152416987633,-0.8796890377998352,5.297308428648504,0.004551651780168258,0.14255160063174416,4,0.027265886677258756,9.986866364437646e-13,0.007329512387514114,0.6190390846140793,0.0,125000,0.04314953435601501,2.139208330273849,0.14258751620570106,0.0,0.0017747282981872559,0.0
5.136855602264404,1.0894963725641598,-0.8653856515884399,50,0.5615687072277069,1.2145643762580243,-0.014268428087234497,-0.5758371353149414,0.0,0.0,8.010335843311028e-06,0.14789834424482642,-0.8635918498039246,6.016029286509606,0.005585125467650639,0.1476000587830722,5,0.04081029484213145,1.9792919357948117e-11,0.006444238126277924,0.962356196431329,0.0,150000,0.08728040612857046,2.542346303046166,0.1476404905753305,0.0,0.0017938017845153809,0.0
5.068394660949707,0.8607322558388026,-0.8285306096076965,50,0.22883671522140503,1.085383014964133,-0.5146313309669495,-0.7434680461883545,0.0,0.0,6.961494578742957e-06,0.1480645201452011,-0.8269357681274414,5.014739278870112,0.004486320135264913,0.1477182465278361,6,0.02985647672196198,1.6878588944494341e-09,0.004138480871915817,0.7866332856337747,0.0,175000,0.07039418241708145,2.080129365817831,0.14775784667344982,0.0,0.001594841480255127,0.0
4.983407020568848,0.9621420828500357,-0.8209301829338074,50,1.0895978808403015,1.1388647451907628,0.45613664388656616,-0.6334612369537354,0.0,0.0,7.798623910492959e-06,0.14194879335807875,-0.8192936778068542,5.130356690325541,0.004939183132844609,0.14163252812252794,7,0.034320227090160596,3.120825312555625e-10,0.005955407861620188,0.8258428559071775,0.0,200000,0.06401242011890634,2.273989127932181,0.14166839370105727,0.0,0.001636505126953125,0.0
4.85294771194458,1.459218144968239,-0.834076464176178,50,5.153475895524025,1.1081316260975955,5.329766750335693,0.1762908548116684,0.0,0.0,1.804374511378619e-05,0.1403742151403398,-0.8311084508895874,11.047325734544927,0.008533658853649735,0.1399216604779467,8,0.06525030253150584,1.1486147395415278e-11,0.008304454386234283,2.1072004101049178,0.0,225000,0.12430566977342447,3.5362443167176134,0.13999174638828865,0.0,0.002968013286590576,0.02
4.712799549102783,1.5602888441019545,-0.8261458873748779,50,1.2347411662340164,1.2142580248673016,1.391741394996643,0.15700022876262665,0.0,0.0,1.0774119766322613e-05,0.15167170595721222,-0.8231602907180786,11.119182393721788,0.00930467273284005,0.1504299467039546,9,0.0690788302703577,4.226281154002185e-13,0.009022831916809082,1.8412338989877706,0.0,250000,0.1553123757561194,3.9332006565238955,0.15105127504565458,0.0,0.0029855966567993164,0.02
