MetaTest/pick-place-v2/NearObject,MetaTest/Average/GraspSuccessRate,GaussianMLPPolicy/KLAfter,MetaTest/pick-place-v2/StdReturn,MetaTest/Average/EpisodeMeanMinInPlaceReward,Average/AverageReturn,MetaTest/Average/EpisodeMeanInPlaceReward,Average/EpisodeMeanMaxInPlaceReward,MetaTest/pick-place-v2/MinReturn,MetaTest/pick-place-v2/GraspSuccessRate,Average/TerminationRate,pick-place-v2/MaxReward,pick-place-v2/MinReward,pick-place-v2/EpisodeMeanInPlaceReward,MetaTest/pick-place-v2/EpisodeMeanGraspReward,MetaTest/pick-place-v2/EpisodeMeanInPlaceReward,pick-place-v2/TerminationRate,MetaTest/Average/NearObject,MetaTest/Average/EpisodeMeanGraspReward,MetaTest/Average/EpisodeMeanMaxGraspReward,pick-place-v2/NearObject,Average/EpisodeMeanGraspReward,pick-place-v2/EpisodeMeanGraspReward,Average/AverageDiscountedReturn,pick-place-v2/EpisodeMeanMaxGraspReward,pick-place-v2/Iteration,Average/SuccessRate,Average/EpisodeMeanMinGraspReward,pick-place-v2/MinReturn,MetaTest/pick-place-v2/Iteration,MetaTest/pick-place-v2/EpisodeMeanMaxInPlaceReward,TotalEnvSteps,MetaTest/Average/NumEpisodes,pick-place-v2/StdReturn,pick-place-v2/SuccessRate,MetaTest/Average/TerminationRate,pick-place-v2/MaxReturn,MetaTest/Average/MaxReturn,MetaTest/Average/MinReward,pick-place-v2/AverageReturn,MetaTest/pick-place-v2/MaxReward,pick-place-v2/EpisodeMeanMaxInPlaceReward,Average/NumEpisodes,MetaTest/pick-place-v2/EpisodeMeanMinGraspReward,MetaTest/Average/MaxReward,GaussianMLPPolicy/LossAfter,MetaTest/pick-place-v2/NumEpisodes,MetaTest/Average/AverageDiscountedReturn,MetaTest/pick-place-v2/AverageReturn,MetaTest/Average/StdReturn,Average/MaxReturn,Average/EpisodeMeanMaxGraspReward,pick-place-v2/GraspSuccessRate,GaussianMLPPolicy/Entropy,Average/EpisodeMeanMinInPlaceReward,Average/EpisodeMeanInPlaceReward,GaussianMLPPolicy/LossBefore,MetaTest/pick-place-v2/MinReward,Average/MaxReward,MetaTest/pick-place-v2/MaxReturn,pick-place-v2/EpisodeMeanMinInPlaceReward,MetaTest/pick-place-v2/SuccessRate,MetaTest/pick-place-v2/EpisodeMeanMaxGraspReward,MetaTest/Average/AverageReturn,MetaTest/Average/MinReturn,MetaTest/pick-place-v2/TerminationRate,GaussianMLPPolicy/KLBefore,Average/MinReward,Average/GraspSuccessRate,GaussianMLPPolicy/dLoss,MetaTest/pick-place-v2/EpisodeMeanMinInPlaceReward,pick-place-v2/EpisodeMeanMinGraspReward,Average/StdReturn,MetaTest/Average/EpisodeMeanMinGraspReward,Average/NearObject,MetaTest/Average/Iteration,Average/Iteration,MetaTest/Average/SuccessRate,MetaTest/Average/EpisodeMeanMaxInPlaceReward,MetaTest/pick-place-v2/AverageDiscountedReturn,Iteration,pick-place-v2/AverageDiscountedReturn,pick-place-v2/NumEpisodes,Average/MinReturn
0.0,0.0,0.06903846561908722,0.8250593743167975,0.14619627256333873,1.7469607296214957,0.14622826949757348,0.14401112059995597,1.198942021408726,0.0,0.0,0.05069526979587077,1.5875285610351166e-10,0.1437291121369344,0.004326248440094574,0.14622826949757348,0.0,0.0,0.004326248440094574,0.032476243608921165,0.0,0.003697572736683348,0.003697572736683348,0.6978480972915679,0.026425532874591023,0,0.0,1.2113165766257983e-05,0.833593062138293,0,0.1464985083080047,200000,10,0.5244301127206695,0.0,0.0,3.9578546306191638,4.175138254201796,4.9733490885558194e-09,1.7469607296214957,0.059813340787369,0.14401112059995597,200,1.7843366624775266e-05,0.059813340787369,0.17512793838977814,10,2.0211490231849627,2.021149023184963,0.8250593743167975,3.9578546306191638,0.026425532874591023,0.0,5.677750110626221,0.143696837883283,0.1437291121369344,0.1746009886264801,4.9733490885558194e-09,0.05069526979587077,4.175138254201796,0.143696837883283,0.0,0.032476243608921165,2.021149023184963,1.198942021408726,0.0,0.0,1.5875285610351166e-10,0.0,-0.0005269497632980347,0.14619627256333873,1.2113165766257983e-05,0.5244301127206695,1.7843366624775266e-05,0.0,0,0,0.0,0.1464985083080047,2.0211490231849627,0,0.6978480972915679,200,0.833593062138293
0.1,0.0,0.059672970324754715,1.0167662235017096,0.13960328716724305,2.865942641768754,0.1432632795799918,0.14704737549122357,2.664551116091347,0.0,0.0,0.12773341606371474,3.3261579984856763e-13,0.14606171889362166,0.008211847961946479,0.1432632795799918,0.0,0.1,0.008211847961946479,0.12281974035110788,0.01,0.006329917003359126,0.006329917003359126,1.0398567779165762,0.04236022003039734,1,0.0,0.00020913087124476356,1.0229954479649224,1,0.14496752341885977,400000,10,1.3526753425977251,0.0,0.0,8.045655906802365,6.136471112477839,1.1640545119244283e-08,2.865942641768754,0.13441414864527274,0.14704737549122357,200,4.530437192279855e-06,0.13441414864527274,-0.019968567416071892,10,3.6102811368894776,3.6102811368894776,1.0167662235017096,8.045655906802365,0.04236022003039734,0.0,5.6778693199157715,0.14575001558484138,0.14606171889362166,-0.01998317614197731,1.1640545119244283e-08,0.12773341606371474,6.136471112477839,0.14575001558484138,0.0,0.12281974035110788,3.6102811368894776,2.664551116091347,0.0,0.0,3.3261579984856763e-13,0.0,-1.4608725905418396e-05,0.13960328716724305,0.00020913087124476356,1.3526753425977251,4.530437192279855e-06,0.01,1,1,0.0,0.14496752341885977,3.6102811368894776,1,1.0398567779165762,200,1.0229954479649224
0.1,0.0,0.06809989362955093,1.3009090411756394,0.14641827229429827,3.8650195276643977,0.17441175335750145,0.1479998719160404,4.219550920030663,0.0,0.0,0.13549940719730724,2.938653179987485e-12,0.1450040915051739,0.015254299986448856,0.17441175335750145,0.0,0.1,0.015254299986448856,0.19931854426775392,0.06,0.008917037459701727,0.008917037459701727,1.5038000551633912,0.09466107915326115,2,0.0,1.3961336914789013e-05,1.6328322595329854,2,0.1981990976971673,600000,10,1.3003973358487277,0.0,0.0,10.432917139999104,8.981791979431842,4.1862073207241515e-10,3.8650195276643977,0.16173879783288408,0.1479998719160404,200,2.1713979884740003e-05,0.16173879783288408,-0.03469479829072952,10,6.445948336903514,6.445948336903514,1.3009090411756394,10.432917139999104,0.09466107915326115,0.0,5.676907539367676,0.1425759343995123,0.1450040915051739,-0.03676836937665939,4.1862073207241515e-10,0.13549940719730724,8.981791979431842,0.1425759343995123,0.0,0.19931854426775392,6.445948336903514,4.219550920030663,0.0,0.0,2.938653179987485e-12,0.0,-0.0020735710859298706,0.14641827229429827,1.3961336914789013e-05,1.3003973358487277,2.1713979884740003e-05,0.06,2,2,0.0,0.1981990976971673,6.445948336903514,2,1.5038000551633912,200,1.6328322595329854
0.2,0.0,0.07463352382183075,1.7287802816300526,0.12828422064015216,6.733575947997733,0.15189165633440976,0.17115074595200283,3.201257083793947,0.0,0.0,0.3783183099214253,3.9325809837831335e-10,0.15206743186969354,0.013278299178373015,0.15189165633440976,0.0,0.2,0.013278299178373015,0.18259275078769427,0.105,0.015613961861665214,0.015613961861665214,1.777002738651894,0.13701499920048385,3,0.0,1.3459468290929578e-05,3.1955612532542923,3,0.16074937948567555,800000,10,1.343902792041511,0.0,0.0,12.675847500517047,8.30089395106935,1.839838163300616e-07,6.733575947997733,0.12273525495268958,0.17115074595200283,200,0.00015889809626087797,0.12273525495268958,-0.4957042634487152,10,5.4538610357599255,5.453861035759927,1.7287802816300526,12.675847500517047,0.13701499920048385,0.0,5.6763200759887695,0.1350253272013313,0.15206743186969354,-0.5199242234230042,1.839838163300616e-07,0.3783183099214253,8.30089395106935,0.1350253272013313,0.0,0.18259275078769427,5.453861035759927,3.201257083793947,0.0,0.0,3.9325809837831335e-10,0.0,-0.02421995997428894,0.12828422064015216,1.3459468290929578e-05,1.343902792041511,0.00015889809626087797,0.105,3,3,0.0,0.16074937948567555,5.4538610357599255,3,1.777002738651894,200,3.1955612532542923
0.3,0.0,0.02932099997997284,3.9982677852404174,0.1290187629533583,5.285743484063745,0.15520990362334272,0.16239210917830743,2.557922322716367,0.0,0.0,0.24927542157896385,5.891700103307294e-11,0.15198541395577903,0.02316547729993092,0.15520990362334272,0.0,0.3,0.02316547729993092,0.3148522358134014,0.155,0.012756473776327432,0.012756473776327432,1.7631902902325447,0.1601635374570269,4,0.0,2.959154347912984e-05,2.1208072671344715,4,0.17617135214212068,1000000,10,2.12590038749895,0.0,0.0,17.287215022255314,16.812701160756504,6.085305332674725e-09,5.285743484063745,0.1415582627029179,0.16239210917830743,200,8.390348326606969e-05,0.1415582627029179,-0.22194163501262665,10,6.991255886383323,6.991255886383326,3.9982677852404174,17.287215022255314,0.1601635374570269,0.0,5.676720142364502,0.1386769426756614,0.15198541395577903,-0.2256302535533905,6.085305332674725e-09,0.24927542157896385,16.812701160756504,0.1386769426756614,0.0,0.3148522358134014,6.991255886383326,2.557922322716367,0.0,0.0,5.891700103307294e-11,0.0,-0.003688618540763855,0.1290187629533583,2.959154347912984e-05,2.12590038749895,8.390348326606969e-05,0.155,4,4,0.0,0.17617135214212068,6.991255886383323,4,1.7631902902325447,200,2.1208072671344715
0.4,0.0,0.516101062297821,3.48133566776856,0.12754196541495597,5.030433020693819,0.14880658143601985,0.16922744156041225,1.9346871063813786,0.0,0.0,0.20421975165984532,5.473693699232685e-11,0.15369789831489902,0.022340532814820117,0.14880658143601985,0.0,0.4,0.022340532814820117,0.2883191171580759,0.18,0.012185282646193077,0.012185282646193077,1.8067141524817003,0.16446001238974753,5,0.0,6.114245487923926e-05,2.102426525690514,5,0.171138788649341,1200000,10,1.834172890737347,0.0,0.0,12.565633029211469,15.087210590842176,2.00665439230101e-09,5.030433020693819,0.1430426510074184,0.16922744156041225,200,2.3530381173576904e-05,0.1430426510074184,-0.17445890605449677,10,7.618669149420993,7.618669149420991,3.48133566776856,12.565633029211469,0.16446001238974753,0.0,5.677734375,0.13837143056497203,0.15369789831489902,-0.18562348186969757,2.00665439230101e-09,0.20421975165984532,15.087210590842176,0.13837143056497203,0.0,0.2883191171580759,7.618669149420991,1.9346871063813786,0.0,0.0,5.473693699232685e-11,0.0,-0.011164575815200806,0.12754196541495597,6.114245487923926e-05,1.834172890737347,2.3530381173576904e-05,0.18,5,5,0.0,0.171138788649341,7.618669149420993,5,1.8067141524817003,200,2.102426525690514
0.3,0.0,0.019976723939180374,3.1193815251160224,0.12579409709590866,6.46144645686233,0.1578262705844489,0.17494565646991106,4.721954356233409,0.0,0.0,0.29877651361480384,3.6176934119004845e-11,0.15501422031875042,0.02589442439122745,0.1578262705844489,0.0,0.3,0.02589442439122745,0.2752031686518747,0.28,0.01703894757446503,0.01703894757446503,2.0329621283008077,0.20887451296747572,6,0.0,0.00018266556986129483,1.7496216343163833,6,0.1746430931628215,1400000,10,3.2068081277942415,0.0,0.0,21.12629342261389,13.016576910305709,7.2519118464674055e-09,6.46144645686233,0.17635526689919742,0.17494565646991106,200,4.716569844936582e-06,0.17635526689919742,-0.4500419497489929,10,8.660925255208465,8.660925255208467,3.1193815251160224,21.12629342261389,0.20887451296747572,0.0,5.678102970123291,0.13347764963998202,0.15501422031875042,-0.45341235399246216,7.2519118464674055e-09,0.29877651361480384,13.016576910305709,0.13347764963998202,0.0,0.2752031686518747,8.660925255208467,4.721954356233409,0.0,0.0,3.6176934119004845e-11,0.0,-0.0033704042434692383,0.12579409709590866,0.00018266556986129483,3.2068081277942415,4.716569844936582e-06,0.28,6,6,0.0,0.1746430931628215,8.660925255208465,6,2.0329621283008077,200,1.7496216343163833
0.3,0.0,0.23840954899787903,2.6308294191016963,0.12368283524849266,8.204316416076225,0.15320096441119363,0.17729995200443288,3.6006141959762363,0.0,0.0,1.7945023570847618,1.5385828332126743e-14,0.1547307799057578,0.02003290946552167,0.15320096441119363,0.0,0.3,0.02003290946552167,0.25610775123348184,0.295,0.022885990493061264,0.022885990493061264,2.2426788820707175,0.21442017530989624,7,0.005,0.0002551695110085857,2.890441683259148,7,0.18669638813213757,1600000,10,4.131927133494118,0.005,0.0,26.4949265762742,12.504474102413985,1.4970772792069923e-10,8.204316416076225,0.2830628641732347,0.17729995200443288,200,2.006121288271094e-06,0.2830628641732347,-0.7113639116287231,10,7.094701097478959,7.094701097478958,2.6308294191016963,26.4949265762742,0.21442017530989624,0.0,5.6783976554870605,0.1336552576228721,0.1547307799057578,-0.7869313955307007,1.4970772792069923e-10,1.7945023570847618,12.504474102413985,0.1336552576228721,0.0,0.25610775123348184,7.094701097478958,3.6006141959762363,0.0,0.0,1.5385828332126743e-14,0.0,-0.07556748390197754,0.12368283524849266,0.0002551695110085857,4.131927133494118,2.006121288271094e-06,0.295,7,7,0.0,0.18669638813213757,7.094701097478959,7,2.2426788820707175,200,2.890441683259148
0.3,0.0,0.16778028011322021,2.3660954585187004,0.12283955288875634,8.0211132631285,0.1360647405171374,0.17020723232584112,1.8231372449546015,0.0,0.0,0.25608442861074643,3.79811598347377e-12,0.14945629914656838,0.013923206455829552,0.1360647405171374,0.0,0.3,0.013923206455829552,0.23505156673872749,0.43,0.02339528302621898,0.02339528302621898,2.2852100847329693,0.2744924623836821,8,0.0,0.00045343999538556475,2.1709636622044237,8,0.15604935902030315,1800000,10,3.9308456081541614,0.0,0.0,22.075035553160262,9.182494797487479,3.219502281079489e-11,8.0211132631285,0.1363447347906823,0.17020723232584112,200,8.440675788877315e-05,0.1363447347906823,-0.6513386368751526,10,4.906586303249819,4.906586303249819,2.3660954585187004,22.075035553160262,0.2744924623836821,0.0,5.677863121032715,0.13059223107974863,0.14945629914656838,-0.7337244749069214,3.219502281079489e-11,0.25608442861074643,9.182494797487479,0.13059223107974863,0.0,0.23505156673872749,4.906586303249819,1.8231372449546015,0.0,0.0,3.79811598347377e-12,0.0,-0.0823858380317688,0.12283955288875634,0.00045343999538556475,3.9308456081541614,8.440675788877315e-05,0.43,8,8,0.0,0.15604935902030315,4.906586303249819,8,2.2852100847329693,200,2.1709636622044237
0.2,0.0,0.01582571119070053,1.7040287655210085,0.1390588040943211,5.367481378991008,0.14354780983040627,0.15659627236715362,2.340205397192821,0.0,0.0,0.18827675179438605,8.887847163779364e-10,0.14636258620390286,0.011838897537564879,0.14354780983040627,0.0,0.2,0.011838897537564879,0.13261017463656302,0.27,0.014551689981537082,0.014551689981537082,1.9438345510343669,0.1813958402334155,9,0.0,0.00017985146689838565,1.1924388178459469,9,0.14745891911136094,2000000,10,2.9176520980931095,0.0,0.0,16.773645505563824,7.216778203039896,9.424271595114238e-08,5.367481378991008,0.11897326490123608,0.15659627236715362,200,7.001895205207751e-06,0.11897326490123608,-0.2851944863796234,10,4.541133930987425,4.5411339309874235,1.7040287655210085,16.773645505563824,0.1813958402334155,0.0,5.677119255065918,0.13455622356841299,0.14636258620390286,-0.2873969078063965,9.424271595114238e-08,0.18827675179438605,7.216778203039896,0.13455622356841299,0.0,0.13261017463656302,4.5411339309874235,2.340205397192821,0.0,0.0,8.887847163779364e-10,0.0,-0.0022024214267730713,0.1390588040943211,0.00017985146689838565,2.9176520980931095,7.001895205207751e-06,0.27,9,9,0.0,0.14745891911136094,4.541133930987425,9,1.9438345510343669,200,1.1924388178459469
0.1,0.0,0.011207311414182186,1.0111966338477316,0.13413007710180697,4.557113339484464,0.1493733960694096,0.16259018790236715,2.3440464984614042,0.0,0.0,0.19657768404933681,2.5386896435012383e-12,0.14959832017911665,0.009067434874703387,0.1493733960694096,0.0,0.1,0.009067434874703387,0.14265579104617299,0.225,0.01172850277872523,0.01172850277872523,1.7641608229792598,0.18006165526171727,10,0.0,2.9615424165179373e-05,1.9258271822613613,10,0.16620215170624544,2200000,10,1.917664810735086,0.0,0.0,11.915874916017259,5.6034413329768755,2.5358583943477767e-09,4.557113339484464,0.12850139152306578,0.16259018790236715,200,3.812815139170229e-06,0.12850139152306578,-0.12298908084630966,10,3.912538533082808,3.9125385330828086,1.0111966338477316,11.915874916017259,0.18006165526171727,0.0,5.676312446594238,0.13631242675369715,0.14959832017911665,-0.12315939366817474,2.5358583943477767e-09,0.19657768404933681,5.6034413329768755,0.13631242675369715,0.0,0.14265579104617299,3.9125385330828086,2.3440464984614042,0.0,0.0,2.5386896435012383e-12,0.0,-0.0001703128218650818,0.13413007710180697,2.9615424165179373e-05,1.917664810735086,3.812815139170229e-06,0.225,10,10,0.0,0.16620215170624544,3.912538533082808,10,1.7641608229792598,200,1.9258271822613613
