MetaTest/pick-place-v2/GraspSuccessRate,Average/AverageDiscountedReturn,MetaTest/pick-place-v2/AverageReturn,pick-place-v2/Iteration,Average/EpisodeMeanMaxInPlaceReward,Average/EpisodeMeanMinInPlaceReward,MetaTest/Average/MaxReward,MetaTest/pick-place-v2/MaxReturn,MetaTest/pick-place-v2/SuccessRate,pick-place-v2/TerminationRate,Average/NumEpisodes,pick-place-v2/SuccessRate,Average/MinReturn,Average/TerminationRate,policy/dLoss,MetaTest/Average/TerminationRate,MetaTest/pick-place-v2/EpisodeMeanMaxGraspReward,MetaTest/pick-place-v2/EpisodeMeanMinGraspReward,pick-place-v2/EpisodeMeanMinInPlaceReward,MetaTest/Average/StdReturn,MetaTest/pick-place-v2/StdReturn,MetaTest/Average/SuccessRate,MetaTest/Average/EpisodeMeanInPlaceReward,Average/Iteration,Average/MinReward,Average/EpisodeMeanMaxGraspReward,policy/KL,MetaTest/pick-place-v2/MinReward,MetaTest/Average/GraspSuccessRate,MetaTest/pick-place-v2/MinReturn,pick-place-v2/EpisodeMeanMaxGraspReward,MetaTest/Average/NumEpisodes,Average/AverageReturn,pick-place-v2/AverageDiscountedReturn,MetaTest/pick-place-v2/Iteration,TotalEnvSteps,MetaTest/pick-place-v2/EpisodeMeanGraspReward,MetaTest/Average/EpisodeMeanMinInPlaceReward,MetaTest/pick-place-v2/EpisodeMeanMaxInPlaceReward,pick-place-v2/MinReturn,pick-place-v2/NumEpisodes,Average/MaxReturn,MetaTest/Average/AverageDiscountedReturn,Average/NearObject,policy/LossAfter,pick-place-v2/EpisodeMeanMinGraspReward,Average/EpisodeMeanMinGraspReward,Average/SuccessRate,Average/StdReturn,MetaTest/pick-place-v2/MaxReward,pick-place-v2/NearObject,MetaTest/Average/EpisodeMeanMinGraspReward,MetaTest/Average/MaxReturn,MetaTest/pick-place-v2/NearObject,pick-place-v2/AverageReturn,pick-place-v2/MinReward,pick-place-v2/EpisodeMeanInPlaceReward,MetaTest/pick-place-v2/TerminationRate,MetaTest/Average/Iteration,MetaTest/Average/EpisodeMeanMaxGraspReward,MetaTest/Average/EpisodeMeanMaxInPlaceReward,pick-place-v2/StdReturn,policy/KLBefore,LinearFeatureBaseline/ExplainedVariance,Average/MaxReward,pick-place-v2/EpisodeMeanGraspReward,pick-place-v2/EpisodeMeanMaxInPlaceReward,pick-place-v2/GraspSuccessRate,MetaTest/Average/MinReturn,MetaTest/Average/NearObject,pick-place-v2/MaxReturn,Average/GraspSuccessRate,MetaTest/pick-place-v2/EpisodeMeanInPlaceReward,MetaTest/Average/AverageReturn,policy/LossBefore,MetaTest/pick-place-v2/AverageDiscountedReturn,MetaTest/Average/MinReward,Average/EpisodeMeanGraspReward,MetaTest/pick-place-v2/EpisodeMeanMinInPlaceReward,Average/EpisodeMeanInPlaceReward,MetaTest/Average/EpisodeMeanGraspReward,MetaTest/pick-place-v2/NumEpisodes,pick-place-v2/MaxReward,policy/Entropy
0.0,20.871957431435252,556.186034806454,0,0.14788868115739945,0.1475504819600805,10.30717902461799,968.5056820126397,0.0,0.0,100,0.0,1.6186359811795599,0.0,0.051400248,0.0,0.04416460774523288,6.636156090207654e-06,0.1475504819600805,182.65767780151887,182.65767780151887,0.0,0.1437330017518544,0,1.572041434311309e-12,0.03815567909152859,0.020577036,5.6965095433045506e-12,0.0,242.781324992517,0.03815567909152859,50,64.04794045300902,20.871957431435252,0,50000,0.005416737721343823,0.14369889467364533,0.1440357783696223,1.6186359811795599,100,388.9044576854072,556.186034806454,0.0,-0.051469218,7.610297751132817e-06,7.610297751132817e-06,0.0,81.43700955633656,10.30717902461799,0.0,6.636156090207654e-06,968.5056820126397,0.0,64.04794045300902,1.572041434311309e-12,0.1475892895535709,0.0,0,0.04416460774523288,0.1440357783696223,81.43700955633656,0.0,0.7402833888255712,4.236792819137326,0.005486203293120809,0.14788868115739945,0.0,242.781324992517,0.0,388.9044576854072,0.0,0.1437330017518544,556.186034806454,-6.8969726e-05,556.186034806454,5.6965095433045506e-12,0.005486203293120809,0.14369889467364533,0.1475892895535709,0.005416737721343823,50,4.236792819137326,5.6804132
,176.1312257899174,,1,0.14020182070655904,0.13986792845138826,,,,0.0,100,0.0,326.139120433341,0.0,0.13532957,,,,0.13986792845138826,,,,,1,1.1585262986188394e-09,0.0333289358132687,0.007187564,,,,0.0333289358132687,,659.4447249931279,176.1312257899174,,100000,,,,326.139120433341,100,1525.233837747946,,0.0,-0.13453965,6.16930908999846e-06,6.16930908999846e-06,0.0,255.86349986530618,,0.0,,,,659.4447249931279,1.1585262986188394e-09,0.1398973345347933,,,,,255.86349986530618,0.0,0.7548334694391151,14.995822324820562,0.004485022362853973,0.14020182070655904,0.0,,,1525.233837747946,0.0,,,0.00078992185,,,0.004485022362853973,,0.1398973345347933,,,14.995822324820562,5.678861
,186.60041936898872,,2,0.14370673847411417,0.14337514947769742,,,,0.0,100,0.0,309.1658362974864,0.0,0.13944124,,,,0.14337514947769742,,,,,2,9.887854014723494e-08,0.04512953806727075,0.006824297,,,,0.04512953806727075,,662.8713265681405,186.60041936898872,,150000,,,,309.1658362974864,100,1294.9736237983266,,0.0,-0.13952404,5.680118161811954e-06,5.680118161811954e-06,0.0,208.92524878227513,,0.0,,,,662.8713265681405,9.887854014723494e-08,0.14340829165985838,,,,,208.92524878227513,0.0,0.6421881446095319,19.15439726905248,0.005798055642907639,0.14370673847411417,0.0,,,1294.9736237983266,0.0,,,-8.280273e-05,,,0.005798055642907639,,0.14340829165985838,,,19.15439726905248,5.669187
,190.64655696090588,,3,0.1462332961817358,0.1459003272544174,,,,0.0,100,0.0,223.24396641160834,0.0,0.12705211,,,,0.1459003272544174,,,,,3,1.2596242927908401e-08,0.031089395662215392,0.0056483685,,,,0.031089395662215392,,682.2150656775212,190.64655696090588,,200000,,,,223.24396641160834,100,1229.8119045364335,,0.0,-0.12702855,5.5812870178995465e-06,5.5812870178995465e-06,0.0,197.90910071310864,,0.0,,,,682.2150656775212,1.2596242927908401e-08,0.145941390724514,,,,,197.90910071310864,0.0,0.4679918010199784,14.104283128555597,0.005050829099587633,0.1462332961817358,0.0,,,1229.8119045364335,0.0,,,2.3554687e-05,,,0.005050829099587633,,0.145941390724514,,,14.104283128555597,5.6539664
,186.8104766939219,,4,0.13873209917343882,0.1384150689337951,,,,0.0,100,0.0,366.9177913780064,0.0,0.13755375,,,,0.1384150689337951,,,,,4,5.057052746284901e-09,0.06438246481208744,0.0056977025,,,,0.06438246481208744,,559.78907275125,186.8104766939219,,250000,,,,366.9177913780064,100,871.0137959280477,,0.0,-0.13175376,9.070012266259842e-06,9.070012266259842e-06,0.0,117.2008124497239,,0.0,,,,559.78907275125,5.057052746284901e-09,0.13844444856860033,,,,,117.2008124497239,0.0,0.2649509995520061,18.152631260441026,0.007382937433224318,0.13873209917343882,0.0,,,871.0137959280477,0.0,,,0.0058,,,0.007382937433224318,,0.13844444856860033,,,18.152631260441026,5.6453424
,179.07482441901269,,5,0.14417423907269444,0.14372687217087327,,,,0.0,100,0.0,197.60663849500924,0.0,0.22343843,,,,0.14372687217087327,,,,,5,1.7610455596272866e-08,0.037989594424693705,0.00584995,,,,0.037989594424693705,,558.1593390158087,179.07482441901269,,300000,,,,197.60663849500924,100,934.9834598164779,,0.0,-0.21473725,6.420416503034432e-06,6.420416503034432e-06,0.0,137.68587455958394,,0.0,,,,558.1593390158087,1.7610455596272866e-08,0.1438387774759055,,,,,137.68587455958394,0.0,-0.12941679902044445,11.062967787866445,0.0054143523501967526,0.14417423907269444,0.0,,,934.9834598164779,0.0,,,0.008701172,,,0.0054143523501967526,,0.1438387774759055,,,11.062967787866445,5.6458364
,192.52547785881183,,6,0.14405365698615857,0.14368023664849416,,,,0.0,100,0.0,383.90026375395786,0.0,0.1211109,,,,0.14368023664849416,,,,,6,6.100349469096801e-08,0.03129996334045015,0.007164868,,,,0.03129996334045015,,650.9099188960295,192.52547785881183,,350000,,,,383.90026375395786,100,1090.2104297157925,,0.0,-0.12070418,6.9529334034424766e-06,6.9529334034424766e-06,0.0,173.85249486716745,,0.0,,,,650.9099188960295,6.100349469096801e-08,0.1437205244442601,,,,,173.85249486716745,0.0,0.6397122663768493,12.411839956532658,0.005039399353349389,0.14405365698615857,0.0,,,1090.2104297157925,0.0,,,0.00040671875,,,0.005039399353349389,,0.1437205244442601,,,12.411839956532658,5.634951
,194.1998719224831,,7,0.14543480351413965,0.14440111854688462,,,,0.0,100,0.0,392.3541795848183,0.0,0.11795312,,,,0.14440111854688462,,,,,7,3.9213138901734045e-09,0.035814526702629565,0.006982847,,,,0.035814526702629565,,593.1967006779549,194.1998719224831,,400000,,,,392.3541795848183,100,983.5106337328335,,0.0,-0.11505328,7.4199294235702425e-06,7.4199294235702425e-06,0.0,108.0422124468519,,0.0,,,,593.1967006779549,3.9213138901734045e-09,0.1446351630149781,,,,,108.0422124468519,0.0,0.5444910243054186,13.359810159848568,0.005581949766059234,0.14543480351413965,0.0,,,983.5106337328335,0.0,,,0.0028998437,,,0.005581949766059234,,0.1446351630149781,,,13.359810159848568,5.624161
,181.2996506382121,,8,0.14807397351784615,0.14486669544836592,,,,0.0,100,0.0,255.97750085188972,0.0,0.16030297,,,,0.14486669544836592,,,,,8,7.203656565236009e-11,0.08534541605578999,0.005263662,,,,0.08534541605578999,,504.0472727108121,181.2996506382121,,450000,,,,255.97750085188972,100,929.3820929947818,,0.03,-0.14640875,1.2444534864649104e-05,1.2444534864649104e-05,0.0,133.7342440033044,,0.03,,,,504.0472727108121,7.203656565236009e-11,0.1460905706168725,,,,,133.7342440033044,0.0,0.3929499120074216,16.308440117633573,0.008090548694576713,0.14807397351784615,0.0,,,929.3820929947818,0.0,,,0.013894219,,,0.008090548694576713,,0.1460905706168725,,,16.308440117633573,5.6192327
,169.5201075752707,,9,0.14146873551081232,0.13718403117280514,,,,0.0,100,0.0,248.1116629487747,0.0,0.19085962,,,,0.13718403117280514,,,,,9,1.3534382118719408e-08,0.0935403101236237,0.0069513246,,,,0.0935403101236237,,453.0836316307978,169.5201075752707,,500000,,,,248.1116629487747,100,844.3503532689039,,0.04,-0.19309373,9.33406270297679e-06,9.33406270297679e-06,0.0,117.66696423952396,,0.04,,,,453.0836316307978,1.3534382118719408e-08,0.13890969994835162,,,,,117.66696423952396,0.0,0.5229526340399588,12.731011626090618,0.009801117769207855,0.14146873551081232,0.0,,,844.3503532689039,0.0,,,-0.002234121,,,0.009801117769207855,,0.13890969994835162,,,12.731011626090618,5.61321
