Average/TerminationRate,pick-place-v2/MaxReward,MetaTest/Average/NumEpisodes,pick-place-v2/MaxReturn,MetaTest/Average/AverageDiscountedReturn,Average/EpisodeMeanMaxGraspReward,Iteration,GaussianMLPPolicy/KLBefore,pick-place-v2/EpisodeMeanGraspReward,pick-place-v2/EpisodeMeanMinInPlaceReward,MetaTest/pick-place-v2/MaxReward,GaussianMLPPolicy/LossBefore,pick-place-v2/SuccessRate,pick-place-v2/MinReward,MetaTest/pick-place-v2/AverageDiscountedReturn,MetaTest/Average/TerminationRate,Average/EpisodeMeanMinInPlaceReward,GaussianMLPPolicy/KLAfter,Average/EpisodeMeanInPlaceReward,pick-place-v2/Iteration,GaussianMLPPolicy/Entropy,pick-place-v2/StdReturn,MetaTest/pick-place-v2/NumEpisodes,pick-place-v2/EpisodeMeanMinGraspReward,MetaTest/Average/MaxReturn,pick-place-v2/AverageReturn,MetaTest/pick-place-v2/EpisodeMeanMaxInPlaceReward,MetaTest/Average/Iteration,GaussianMLPPolicy/dLoss,Average/EpisodeMeanMinGraspReward,Average/MaxReward,MetaTest/pick-place-v2/MaxReturn,Average/GraspSuccessRate,GaussianMLPPolicy/LossAfter,MetaTest/Average/MaxReward,MetaTest/Average/MinReward,MetaTest/Average/AverageReturn,MetaTest/pick-place-v2/NearObject,MetaTest/Average/StdReturn,MetaTest/Average/NearObject,MetaTest/Average/EpisodeMeanInPlaceReward,TotalEnvSteps,pick-place-v2/NearObject,MetaTest/pick-place-v2/SuccessRate,MetaTest/Average/EpisodeMeanMinInPlaceReward,MetaTest/pick-place-v2/EpisodeMeanMinGraspReward,MetaTest/pick-place-v2/EpisodeMeanMaxGraspReward,MetaTest/pick-place-v2/GraspSuccessRate,Average/MinReturn,pick-place-v2/MinReturn,pick-place-v2/EpisodeMeanMaxGraspReward,MetaTest/pick-place-v2/StdReturn,MetaTest/Average/GraspSuccessRate,Average/AverageDiscountedReturn,Average/AverageReturn,pick-place-v2/NumEpisodes,pick-place-v2/TerminationRate,Average/MinReward,Average/NearObject,pick-place-v2/EpisodeMeanInPlaceReward,Average/EpisodeMeanGraspReward,MetaTest/Average/EpisodeMeanMaxGraspReward,MetaTest/Average/EpisodeMeanGraspReward,MetaTest/pick-place-v2/TerminationRate,MetaTest/Average/MinReturn,pick-place-v2/EpisodeMeanMaxInPlaceReward,MetaTest/pick-place-v2/MinReward,pick-place-v2/AverageDiscountedReturn,MetaTest/pick-place-v2/EpisodeMeanInPlaceReward,MetaTest/Average/EpisodeMeanMaxInPlaceReward,Average/StdReturn,Average/SuccessRate,MetaTest/pick-place-v2/EpisodeMeanGraspReward,MetaTest/Average/SuccessRate,Average/MaxReturn,Average/EpisodeMeanMaxInPlaceReward,MetaTest/pick-place-v2/EpisodeMeanMinInPlaceReward,MetaTest/pick-place-v2/AverageReturn,MetaTest/pick-place-v2/Iteration,MetaTest/Average/EpisodeMeanMinGraspReward,Average/NumEpisodes,Average/Iteration,MetaTest/pick-place-v2/MinReturn,pick-place-v2/GraspSuccessRate
0.0,0.045657934403251825,10,2.882222929971271,1.7405207063489645,0.02861452277299586,0,0.0,0.003595624503910275,0.14039714065398937,0.0415396522741274,0.392547070980072,0.0,6.180849640757163e-11,1.7405207063489645,0.0,0.14039714065398937,0.0011456944048404694,0.14043009871798887,0,5.682157039642334,0.34972268259021166,10,1.3230131547081188e-05,2.2844486431610718,1.6960074768615778,0.14519842044350859,0,7.280707359313965e-05,1.3230131547081188e-05,0.045657934403251825,2.2844486431610718,0.0,0.3924742639064789,0.0415396522741274,3.526961344245638e-08,1.7405207063489656,0.0,0.35564030168062216,0.0,0.14487710363264897,200000,0.0,0.0,0.14484215692911423,6.082525716101283e-06,0.02767331803403437,0.0,0.8571384738851135,0.8571384738851135,0.02861452277299586,0.35564030168062216,0.0,0.7050010306886431,1.6960074768615778,200,0.0,6.180849640757163e-11,0.0,0.14043009871798887,0.003595624503910275,0.02767331803403437,0.0036966162636569364,0.0,1.0665808510255395,0.14071535324596612,3.526961344245638e-08,0.7050010306886431,0.14487710363264897,0.14519842044350859,0.34972268259021166,0.0,0.0036966162636569364,0.0,2.882222929971271,0.14071535324596612,0.14484215692911423,1.7405207063489656,0,6.082525716101283e-06,200,0,1.0665808510255395,0.0
0.0,0.052785770700842304,10,3.013174248037329,2.257989073643836,0.023733915219680348,1,0.0,0.003562165347793017,0.13887850753943437,0.03917386838100334,0.36295074224472046,0.0,8.312323429761674e-11,2.257989073643836,0.0,0.13887850753943437,0.0017679501324892044,0.13890884128775732,1,5.686087608337402,0.41572506256345054,10,1.9878923624939665e-05,2.6897323984408694,1.688115003201242,0.13539057186971454,1,3.9964914321899414e-05,1.9878923624939665e-05,0.052785770700842304,2.6897323984408694,0.0,0.36291077733039856,0.03917386838100334,2.491734286154521e-09,2.2579890736438366,0.0,0.3785729097532914,0.0,0.13514204287421488,400000,0.0,0.0,0.13511223439254424,9.8836411870099e-06,0.0379382829778052,0.0,0.6815435296093889,0.6815435296093889,0.023733915219680348,0.3785729097532914,0.0,0.6636974717623132,1.688115003201242,200,0.0,8.312323429761674e-11,0.0,0.13890884128775732,0.003562165347793017,0.0379382829778052,0.0048770040212493355,0.0,1.6189465406171437,0.13923082375266038,2.491734286154521e-09,0.6636974717623132,0.13514204287421488,0.13539057186971454,0.41572506256345054,0.0,0.0048770040212493355,0.0,3.013174248037329,0.13923082375266038,0.13511223439254424,2.2579890736438366,1,9.8836411870099e-06,200,1,1.6189465406171437,0.0
0.0,0.08067677273337696,10,4.814872228921359,2.645849730723538,0.043253281262590544,2,0.0,0.005051644696719585,0.14356519314105787,0.07097591875745186,0.7337338328361511,0.0,2.6329200946663545e-12,2.645849730723538,0.0,0.14356519314105787,0.0019094329327344894,0.14360002582182582,2,5.685059547424316,0.6754345328041069,10,7.30253446514661e-06,4.846250737971493,2.303059329195959,0.1410964677773749,2,3.3974647521972656e-06,7.30253446514661e-06,0.08067677273337696,4.846250737971493,0.0,0.7337304353713989,0.07097591875745186,3.3379192452190775e-08,2.645849730723538,0.0,1.0512084864047497,0.0,0.1407555536133086,600000,0.0,0.0,0.14072816688668785,2.0299817090551598e-05,0.0504957439491881,0.0,0.98188169787899,0.98188169787899,0.043253281262590544,1.0512084864047497,0.0,1.050923051649005,2.303059329195959,200,0.0,2.6329200946663545e-12,0.0,0.14360002582182582,0.005051644696719585,0.0504957439491881,0.005905955206125465,0.0,1.6256829270991937,0.14389566784398208,3.3379192452190775e-08,1.050923051649005,0.1407555536133086,0.1410964677773749,0.6754345328041069,0.0,0.005905955206125465,0.0,4.814872228921359,0.14389566784398208,0.14072816688668785,2.645849730723538,2,2.0299817090551598e-05,200,2,1.6256829270991937,0.0
0.0,0.12014557519533631,10,6.268261882832958,2.917620029078451,0.06392964295202226,3,0.0,0.0065302816807924005,0.13941981192640085,0.06296620175343778,0.9934492111206055,0.0,1.154921032160192e-13,2.917620029078451,0.0,0.13941981192640085,0.007153687067329884,0.13968409741497365,3,5.67999267578125,0.9015599490251498,10,1.3101576618214902e-05,4.776869107018622,2.8608686975636557,0.13891249831107713,3,0.0013995170593261719,1.3101576618214902e-05,0.12014557519533631,4.776869107018622,0.0,0.9920496940612793,0.06296620175343778,2.8263354866027774e-08,2.91762002907845,0.0,0.9506522860925893,0.0,0.13860322037532155,800000,0.0,0.0,0.13857062241323986,6.754047528448603e-06,0.05269267347226919,0.0,0.9356154701370971,0.9356154701370971,0.06392964295202226,0.9506522860925893,0.0,1.3110447353744723,2.8608686975636557,200,0.0,1.154921032160192e-13,0.0,0.13968409741497365,0.0065302816807924005,0.05269267347226919,0.006534329134184646,0.0,1.4190675815877585,0.14030656361015129,2.8263354866027774e-08,1.3110447353744723,0.13860322037532155,0.13891249831107713,0.9015599490251498,0.0,0.006534329134184646,0.0,6.268261882832958,0.14030656361015129,0.13857062241323986,2.91762002907845,3,6.754047528448603e-06,200,3,1.4190675815877585,0.0
0.0,0.1628054894783972,10,10.125673004897962,3.48542389962588,0.08476561550863856,4,0.0,0.008175094288416401,0.14046412161163946,0.10650284106762745,1.2844624519348145,0.0,2.9791060556204806e-11,3.48542389962588,0.0,0.14046412161163946,0.002975784707814455,0.1423166857876746,4,5.693369388580322,1.5674668963421163,10,1.0007818862346687e-05,5.014630407421344,3.3135777811708955,0.1431622616673313,4,0.0001443624496459961,1.0007818862346687e-05,0.1628054894783972,5.014630407421344,0.0,1.2843180894851685,0.10650284106762745,2.3729320139440704e-07,3.4854238996258813,0.0,0.9515070517891404,0.0,0.14288626072164862,1000000,0.035,0.0,0.1428510678907735,1.628507447621029e-05,0.07964332362176799,0.0,0.9502880611040926,0.9502880611040926,0.08476561550863856,0.9515070517891404,0.0,1.428749307965684,3.3135777811708955,200,0.0,2.9791060556204806e-11,0.035,0.1423166857876746,0.008175094288416401,0.07964332362176799,0.00803812823738079,0.0,1.9718588872303084,0.1447577656599939,2.3729320139440704e-07,1.428749307965684,0.14288626072164862,0.1431622616673313,1.5674668963421163,0.0,0.00803812823738079,0.0,10.125673004897962,0.1447577656599939,0.1428510678907735,3.4854238996258813,4,1.628507447621029e-05,200,4,1.9718588872303084,0.0
0.0,0.13059286597486974,10,10.307600184789388,2.836509859878307,0.0807367491907399,5,0.0,0.007455898637090865,0.1370468374693824,0.09999947792087747,1.1059656143188477,0.0,1.3740682582220526e-11,2.836509859878307,0.0,0.1370468374693824,0.007311930414289236,0.13918235636730905,5,5.6757073402404785,1.1804676817617845,10,1.0398944778483377e-05,5.255418691608287,3.1536634726944497,0.13839029425915386,5,0.0003795623779296875,1.0398944778483377e-05,0.13059286597486974,5.255418691608287,0.0,1.105586051940918,0.09999947792087747,2.3034212542386684e-07,2.8365098598783063,0.0,0.9400460223675862,0.0,0.13810581853168985,1200000,0.03,0.0,0.13806980138865776,1.7856265538053053e-05,0.09320519956879444,0.0,1.2327950584320955,1.2327950584320955,0.0807367491907399,0.9400460223675862,0.0,1.4107672454448004,3.1536634726944497,200,0.0,1.3740682582220526e-11,0.03,0.13918235636730905,0.007455898637090865,0.09320519956879444,0.006552788236711351,0.0,2.067508421845886,0.1423416419650258,2.3034212542386684e-07,1.4107672454448004,0.13810581853168985,0.13839029425915386,1.1804676817617845,0.0,0.006552788236711351,0.0,10.307600184789388,0.1423416419650258,0.13806980138865776,2.8365098598783063,5,1.7856265538053053e-05,200,5,2.067508421845886,0.0
0.0,2.037959543490016,10,59.70433125830578,2.4549050904131002,0.06112775243051082,6,0.0,0.006651600582857195,0.14201230658248068,0.05845438140520807,1.0972564220428467,0.0,2.877591560801995e-11,2.4549050904131002,0.0,0.14201230658248068,0.007239355705678463,0.14255133363677103,6,5.657452583312988,4.116599506291703,10,1.3774975703091361e-05,3.6246542118131484,3.071609683735718,0.14041407529731598,6,0.0012568235397338867,1.3774975703091361e-05,2.037959543490016,3.6246542118131484,0.005,1.0959995985031128,0.05845438140520807,4.1169566434854464e-08,2.4549050904131002,0.0,0.6781728609846254,0.0,0.14008011129077413,1400000,0.01,0.0,0.14005455240313822,2.4138471330188147e-05,0.04077483767070477,0.0,1.1836825712820178,1.1836825712820178,0.06112775243051082,0.6781728609846254,0.0,1.389357545873518,3.071609683735718,200,0.0,2.877591560801995e-11,0.01,0.14255133363677103,0.006651600582857195,0.04077483767070477,0.005392743047312831,0.0,1.1984458467186228,0.14358975729503892,4.1169566434854464e-08,1.389357545873518,0.14008011129077413,0.14041407529731598,4.116599506291703,0.0,0.005392743047312831,0.0,59.70433125830578,0.14358975729503892,0.14005455240313822,2.4549050904131002,6,2.4138471330188147e-05,200,6,1.1984458467186228,0.005
0.0,0.11396396311000545,10,5.784339982148116,2.4234462380584976,0.05455538381375396,7,0.0,0.00618375206357388,0.13916732722336242,0.05283362117227924,0.8860780000686646,0.0,5.945689509464865e-10,2.4234462380584976,0.0,0.13916732722336242,0.0013524190289899707,0.1394267756902509,7,5.661174297332764,0.7900211596878148,10,1.43229354743705e-05,3.3270812761750124,2.75124902971868,0.14311084413470343,7,8.594989776611328e-05,1.43229354743705e-05,0.11396396311000545,3.3270812761750124,0.0,0.8859920501708984,0.05283362117227924,1.2787532982159158e-06,2.4234462380584993,0.0,0.4572203426307491,0.0,0.14279334439049926,1600000,0.005,0.0,0.14275317785826677,3.057375258487122e-05,0.04911198713773596,0.0,1.1502563026806016,1.1502563026806016,0.05455538381375396,0.4572203426307491,0.0,1.255849389030125,2.75124902971868,200,0.0,5.945689509464865e-10,0.005,0.1394267756902509,0.00618375206357388,0.04911198713773596,0.0053148706120640455,0.0,1.9572788022382768,0.13992961880630667,1.2787532982159158e-06,1.255849389030125,0.14279334439049926,0.14311084413470343,0.7900211596878148,0.0,0.0053148706120640455,0.0,5.784339982148116,0.13992961880630667,0.14275317785826677,2.4234462380584993,7,3.057375258487122e-05,200,7,1.9572788022382768,0.0
0.0,1.6895846793386913,10,12.397783660026322,2.4558233845645216,0.06233776291569722,8,0.0,0.0062167319933939804,0.1400724120337303,0.07483504467457608,0.8705406188964844,0.0,1.344416850526957e-12,2.4558233845645216,0.0,0.1400724120337303,0.002973478753119707,0.14049567608710814,8,5.671559810638428,1.2388745136742578,10,1.4632164493053345e-05,4.38981855563937,2.684402213126641,0.14261852400019873,8,5.340576171875e-05,1.4632164493053345e-05,1.6895846793386913,4.38981855563937,0.0,0.8704872131347656,0.07483504467457608,2.847671026012614e-08,2.455823384564521,0.0,0.8697321605599121,0.0,0.13838910142972527,1800000,0.015,0.0,0.13588414740760552,2.7648390008477198e-05,0.052763362439254426,0.0,0.9299797529065078,0.9299797529065078,0.06233776291569722,0.8697321605599121,0.0,1.1829359552383978,2.684402213126641,200,0.0,1.344416850526957e-12,0.015,0.14049567608710814,0.0062167319933939804,0.052763362439254426,0.00551327271915467,0.0,1.204910050655852,0.1412498976962218,2.847671026012614e-08,1.1829359552383978,0.13838910142972527,0.14261852400019873,1.2388745136742578,0.0,0.00551327271915467,0.0,12.397783660026322,0.1412498976962218,0.13588414740760552,2.455823384564521,8,2.7648390008477198e-05,200,8,1.204910050655852,0.0
0.0,0.08996360050384616,10,4.588586898426911,2.476542206942021,0.0504905544807409,9,0.0,0.005200291560790936,0.13910410655057126,0.09602600986723857,0.6117453575134277,0.0,1.1903760176501878e-10,2.476542206942021,0.0,0.13910410655057126,0.001155378413386643,0.13913431736349796,9,5.6879754066467285,0.6657949901298684,10,1.9879672179740448e-05,4.499410554121256,2.343923046774268,0.13925471716493326,9,5.1021575927734375e-05,1.9879672179740448e-05,0.08996360050384616,4.499410554121256,0.0,0.6116943359375,0.09602600986723857,2.1883468301860736e-08,2.47654220694202,0.0,1.0897579883061677,0.0,0.13897519102987257,2000000,0.0,0.0,0.13894770487043356,1.2921059247048548e-05,0.05542388298267921,0.0,0.9961526585471869,0.9961526585471869,0.0504905544807409,1.0897579883061677,0.0,1.106271213209622,2.343923046774268,200,0.0,1.1903760176501878e-10,0.0,0.13913431736349796,0.005200291560790936,0.05542388298267921,0.005630550536924218,0.0,1.0642459986262984,0.13941961733354233,2.1883468301860736e-08,1.106271213209622,0.13897519102987257,0.13925471716493326,0.6657949901298684,0.0,0.005630550536924218,0.0,4.588586898426911,0.13941961733354233,0.13894770487043356,2.47654220694202,9,1.2921059247048548e-05,200,9,1.0642459986262984,0.0
