MetaTest/pick-place-v2/StdReturn,pick-place-v2/AverageDiscountedReturn,MetaTest/pick-place-v2/Iteration,pick-place-v2/MinReturn,MetaTest/Average/Iteration,Average/EpisodeMeanGraspReward,MetaTest/pick-place-v2/AverageDiscountedReturn,MetaTest/pick-place-v2/SuccessRate,Average/MinReward,MetaTest/Average/EpisodeMeanMaxGraspReward,MetaTest/pick-place-v2/EpisodeMeanMinGraspReward,Average/EpisodeMeanMaxGraspReward,Average/NearObject,MetaTest/Average/MaxReward,MetaTest/Average/EpisodeMeanInPlaceReward,Average/MaxReward,MetaTest/pick-place-v2/NumEpisodes,MetaTest/Average/AverageDiscountedReturn,pick-place-v2/MinReward,pick-place-v2/Iteration,pick-place-v2/NumEpisodes,pick-place-v2/EpisodeMeanInPlaceReward,Average/SuccessRate,TotalEnvSteps,MetaTest/pick-place-v2/MaxReward,MetaTest/pick-place-v2/MaxReturn,Iteration,Average/StdReturn,MetaTest/Average/MinReturn,MetaTest/Average/EpisodeMeanMinGraspReward,pick-place-v2/MaxReturn,pick-place-v2/GraspSuccessRate,pick-place-v2/StdReturn,Average/NumEpisodes,pick-place-v2/NearObject,GaussianMLPPolicy/LossAfter,GaussianMLPPolicy/dLoss,MetaTest/pick-place-v2/EpisodeMeanMinInPlaceReward,MetaTest/Average/EpisodeMeanGraspReward,MetaTest/Average/EpisodeMeanMinInPlaceReward,MetaTest/Average/GraspSuccessRate,MetaTest/pick-place-v2/MinReward,pick-place-v2/EpisodeMeanMaxGraspReward,pick-place-v2/EpisodeMeanMaxInPlaceReward,GaussianMLPPolicy/KLBefore,Average/MinReturn,MetaTest/Average/NearObject,pick-place-v2/AverageReturn,MetaTest/Average/AverageReturn,MetaTest/Average/TerminationRate,GaussianMLPPolicy/Entropy,Average/Iteration,MetaTest/pick-place-v2/MinReturn,MetaTest/Average/EpisodeMeanMaxInPlaceReward,GaussianMLPPolicy/KLAfter,pick-place-v2/EpisodeMeanMinGraspReward,pick-place-v2/EpisodeMeanMinInPlaceReward,Average/TerminationRate,Average/AverageReturn,MetaTest/pick-place-v2/EpisodeMeanMaxInPlaceReward,MetaTest/Average/MinReward,Average/EpisodeMeanInPlaceReward,Average/EpisodeMeanMinInPlaceReward,MetaTest/pick-place-v2/AverageReturn,MetaTest/Average/NumEpisodes,MetaTest/pick-place-v2/NearObject,pick-place-v2/EpisodeMeanGraspReward,MetaTest/pick-place-v2/TerminationRate,MetaTest/pick-place-v2/GraspSuccessRate,MetaTest/pick-place-v2/EpisodeMeanMaxGraspReward,MetaTest/pick-place-v2/EpisodeMeanGraspReward,Average/AverageDiscountedReturn,GaussianMLPPolicy/LossBefore,MetaTest/Average/SuccessRate,pick-place-v2/SuccessRate,Average/GraspSuccessRate,Average/MaxReturn,pick-place-v2/TerminationRate,pick-place-v2/MaxReward,Average/EpisodeMeanMinGraspReward,MetaTest/pick-place-v2/EpisodeMeanInPlaceReward,MetaTest/Average/MaxReturn,MetaTest/Average/StdReturn,Average/EpisodeMeanMaxInPlaceReward
0.8148820184266188,1.0390878444387426,0,1.2811398294355993,0,0.005826079014833978,2.9376088451011104,0.0,2.5236024620565032e-11,0.04099540822038723,0.00010211444404396726,0.039050439663823315,0.0,0.052311922315067115,0.14337762818732086,0.09737693398225351,10,2.9376088451011104,2.5236024620565032e-11,0,200,0.14321424694388246,0.0,200000,0.052311922315067115,4.37374328585371,0,0.8565078912151943,1.6745548838438247,0.00010211444404396726,6.887145115126634,0.0,0.8565078912151943,200,0.0,-0.628764808177948,-0.12186300754547119,0.14333873026405214,0.006388443989432164,0.14333873026405214,0.0,6.352612929313886e-09,0.039050439663823315,0.14351048891259754,0.0,1.2811398294355993,0.0,2.6864990615366637,2.937608845101109,0.0,5.6737542152404785,0,1.6745548838438247,0.14365731777173593,0.28689056634902954,2.692368186069808e-05,0.14317982851968383,0.0,2.6864990615366637,0.14365731777173593,6.352612929313886e-09,0.14321424694388246,0.14317982851968383,2.937608845101109,10,0.0,0.005826079014833978,0.0,0.0,0.04099540822038723,0.006388443989432164,1.0390878444387426,-0.7506278157234192,0.0,0.0,0.0,6.887145115126634,0.0,0.09737693398225351,2.692368186069808e-05,0.14337762818732086,4.37374328585371,0.8148820184266188,0.14351048891259754
0.36742029046148106,0.800418125486161,1,0.910778542940471,1,0.005201306178049327,2.1067887256769966,0.0,2.6018057450803082e-11,0.026270426455885232,9.983198601168255e-05,0.025047751888958948,0.0,0.038447803604293174,0.14160667359243928,0.05094903042483114,10,2.1067887256769966,2.6018057450803082e-11,1,200,0.1409159832233154,0.0,400000,0.038447803604293174,2.851875712227899,1,0.8233691372408819,1.585812211266499,9.983198601168255e-05,5.63428712147997,0.0,0.8233691372408819,200,0.0,-0.4976751208305359,-0.1128050684928894,0.14158107030511116,0.004418142437873212,0.14158107030511116,0.0,1.2297576846257808e-09,0.025047751888958948,0.14122791295958412,0.0,0.910778542940471,0.0,2.4451497086480174,2.106788725676996,0.0,5.6733551025390625,1,1.585812211266499,0.1418828551519401,0.3130151033401489,2.509151483072421e-05,0.1408839957580402,0.0,2.4451497086480174,0.1418828551519401,1.2297576846257808e-09,0.1409159832233154,0.1408839957580402,2.106788725676996,10,0.0,0.005201306178049327,0.0,0.0,0.026270426455885232,0.004418142437873212,0.800418125486161,-0.6104801893234253,0.0,0.0,0.0,5.63428712147997,0.0,0.05094903042483114,2.509151483072421e-05,0.14160667359243928,2.851875712227899,0.36742029046148106,0.14122791295958412
0.3540437559822731,0.8340659466689937,2,1.0699893429315563,2,0.005002899398820762,1.905630801241341,0.0,2.840792247761989e-13,0.024703544820939338,4.049599887422717e-06,0.026816035521937644,0.0,0.03401936031767011,0.13813149559270793,0.040459132844352735,10,1.905630801241341,2.840792247761989e-13,2,200,0.142316692324753,0.0,600000,0.03401936031767011,2.4783918142523715,2,0.5156465212041837,1.4101549397735504,4.049599887422717e-06,3.622852241586095,0.0,0.5156465212041837,200,0.0,-0.45043641328811646,-0.13556593656539917,0.138102147141345,0.003992822370572239,0.138102147141345,0.0,2.673548424607321e-10,0.026816035521937644,0.14260437966675263,0.0,1.0699893429315563,0.0,2.370424106760239,1.905630801241341,0.0,5.673172950744629,2,1.4101549397735504,0.13841729791086202,0.4148692190647125,0.00014517388786914522,0.14228612304736063,0.0,2.370424106760239,0.13841729791086202,2.673548424607321e-10,0.142316692324753,0.14228612304736063,1.905630801241341,10,0.0,0.005002899398820762,0.0,0.0,0.024703544820939338,0.003992822370572239,0.8340659466689937,-0.5860023498535156,0.0,0.0,0.0,3.622852241586095,0.0,0.040459132844352735,0.00014517388786914522,0.13813149559270793,2.4783918142523715,0.3540437559822731,0.14260437966675263
0.31683541625013073,0.6853959320391951,3,0.8969625974075931,3,0.004152923545967568,1.7637066043318748,0.0,1.0337899382507174e-11,0.028707594766465644,1.4180524961350069e-05,0.027219232451634424,0.0,0.038127990519140405,0.14347672560845942,0.041597098740265605,10,1.7637066043318748,1.0337899382507174e-11,3,200,0.1401044085573244,0.0,800000,0.038127990519140405,2.3190504468351545,3,0.3988074269533519,1.364654606436786,1.4180524961350069e-05,2.9775708693502514,0.0,0.3988074269533519,200,0.0,-0.5154294967651367,-0.02781975269317627,0.14344195497304252,0.003698069693499949,0.14344195497304252,0.0,5.872178337531265e-10,0.027219232451634424,0.14041489184134834,0.0,0.8969625974075931,0.0,1.9791267999668591,1.7637066043318748,0.0,5.673418045043945,3,1.364654606436786,0.1438265843797782,0.09955604374408722,2.671167927639695e-05,0.1400773245073399,0.0,1.9791267999668591,0.1438265843797782,5.872178337531265e-10,0.1401044085573244,0.1400773245073399,1.7637066043318748,10,0.0,0.004152923545967568,0.0,0.0,0.028707594766465644,0.003698069693499949,0.6853959320391951,-0.543249249458313,0.0,0.0,0.0,2.9775708693502514,0.0,0.041597098740265605,2.671167927639695e-05,0.14347672560845942,2.3190504468351545,0.31683541625013073,0.14041489184134834
0.2232151442873527,0.6275338561367425,4,1.1743954790417894,4,0.003493413837807739,1.727935233396439,0.0,1.2751452425862553e-11,0.02468745581786931,1.1824768052601173e-05,0.024478793448851358,0.0,0.028058494817376593,0.14402062786548148,0.0385267149564581,10,1.727935233396439,1.2751452425862553e-11,4,200,0.1442825206717117,0.0,1000000,0.028058494817376593,2.144209091574974,4,0.18523801475638416,1.4415473633093885,1.1824768052601173e-05,2.2178844865067058,0.0,0.18523801475638416,200,0.0,-0.47957563400268555,-0.008696645498275757,0.14399628087131347,0.0036075599431872997,0.14399628087131347,0.0,6.176633186639421e-11,0.024478793448851358,0.14456287272688853,0.0,1.1743954790417894,0.0,1.6743137161046493,1.727935233396439,0.0,5.672880172729492,4,1.4415473633093885,0.1443128578166859,0.05022536590695381,5.533215375084716e-06,0.14424555327922703,0.0,1.6743137161046493,0.1443128578166859,6.176633186639421e-11,0.1442825206717117,0.14424555327922703,1.727935233396439,10,0.0,0.003493413837807739,0.0,0.0,0.02468745581786931,0.0036075599431872997,0.6275338561367425,-0.4882722795009613,0.0,0.0,0.0,2.2178844865067058,0.0,0.0385267149564581,5.533215375084716e-06,0.14402062786548148,2.144209091574974,0.2232151442873527,0.14456287272688853
0.22613783086719372,0.5980549610887718,5,1.0912695291760042,5,0.003488536869420389,1.7326323763635145,0.0,1.2630019108754984e-11,0.030100293764427875,1.4045323238073056e-05,0.028693328595563537,0.0,0.0378006361403429,0.13874625335631802,0.04158073306453087,10,1.7326323763635145,1.2630019108754984e-11,5,200,0.140807561065077,0.0,1200000,0.0378006361403429,2.086673735148343,5,0.25907185119180864,1.342673036773119,1.4045323238073056e-05,2.363404507499755,0.0,0.25907185119180864,200,0.0,-0.5004850625991821,-2.1338462829589844e-05,0.13871798418196177,0.003628449166163385,0.13871798418196177,0.0,1.5517098055262535e-07,0.028693328595563537,0.14110779011698604,0.0,1.0912695291760042,0.0,1.6679123432375778,1.7326323763635145,0.0,5.6721954345703125,5,1.342673036773119,0.1390736986858457,0.007873333990573883,9.195091392394331e-06,0.14077878474620464,0.0,1.6679123432375778,0.1390736986858457,1.5517098055262535e-07,0.140807561065077,0.14077878474620464,1.7326323763635145,10,0.0,0.003488536869420389,0.0,0.0,0.030100293764427875,0.003628449166163385,0.5980549610887718,-0.5005064010620117,0.0,0.0,0.0,2.363404507499755,0.0,0.04158073306453087,9.195091392394331e-06,0.13874625335631802,2.086673735148343,0.22613783086719372,0.14110779011698604
0.2985044600868654,0.6259965775254734,6,1.3443138967617632,6,0.00363527013622882,1.7541005091969857,0.0,1.3511259978294184e-11,0.028861519877079543,9.601206024402975e-06,0.02743303541341078,0.0,0.0380278639704351,0.14368790345898544,0.03984783465677641,10,1.7541005091969857,1.3511259978294184e-11,6,200,0.14310399623974177,0.0,1400000,0.0380278639704351,2.235035964373169,6,0.20593062165830828,1.2226103714266665,9.601206024402975e-06,2.3675099879337,0.0,0.20593062165830828,200,0.0,-0.4992371201515198,-0.0032068490982055664,0.14365853473629622,0.003668517548503438,0.14365853473629622,0.0,4.810745758564874e-10,0.02743303541341078,0.143408792292204,0.0,1.3443138967617632,0.0,1.7390977669588863,1.7541005091969855,0.0,5.671112060546875,6,1.2226103714266665,0.1439865553547961,0.030309226363897324,1.059269485052568e-05,0.1430729315789202,0.0,1.7390977669588863,0.1439865553547961,4.810745758564874e-10,0.14310399623974177,0.1430729315789202,1.7541005091969855,10,0.0,0.00363527013622882,0.0,0.0,0.028861519877079543,0.003668517548503438,0.6259965775254734,-0.5024439692497253,0.0,0.0,0.0,2.3675099879337,0.0,0.03984783465677641,1.059269485052568e-05,0.14368790345898544,2.235035964373169,0.2985044600868654,0.143408792292204
0.2481173965774751,0.6199663273348324,7,1.1173021576810422,7,0.0035551322604516146,1.831114328487704,0.0,1.4886236879132458e-11,0.03464015000916049,2.5520383470396055e-05,0.032455244955334195,0.0,0.037488746111433685,0.13999981481608206,0.042079474327960026,10,1.831114328487704,1.4886236879132458e-11,7,200,0.14055523309126547,0.0,1600000,0.037488746111433685,2.2331644294857034,7,0.2043814146169132,1.521864264226024,2.5520383470396055e-05,2.2256076896546957,0.0,0.2043814146169132,200,0.0,-0.49963608384132385,-0.0017427504062652588,0.13996644217015894,0.0038511125036878894,0.13996644217015894,0.0,1.0163753809705575e-07,0.032455244955334195,0.1408476507354267,0.0,1.1173021576810422,0.0,1.695037932240688,1.8311143284877027,0.0,5.6703925132751465,7,1.521864264226024,0.1402611644239015,0.023401228711009026,1.5258324728943701e-05,0.14052422221960983,0.0,1.695037932240688,0.1402611644239015,1.0163753809705575e-07,0.14055523309126547,0.14052422221960983,1.8311143284877027,10,0.0,0.0035551322604516146,0.0,0.0,0.03464015000916049,0.0038511125036878894,0.6199663273348324,-0.5013788342475891,0.0,0.0,0.0,2.2256076896546957,0.0,0.042079474327960026,1.5258324728943701e-05,0.13999981481608206,2.2331644294857034,0.2481173965774751,0.1408476507354267
0.2532664591963648,0.6249601013299037,8,1.0563112990368044,8,0.0036404933236812934,1.7591372010031745,0.0,1.7688305905422588e-10,0.026729606675201346,2.1181710127855746e-05,0.030950045681263905,0.0,0.037535206232456354,0.14612664156394656,0.04298349557166032,10,1.7591372010031745,1.7688305905422588e-10,8,200,0.1421067329276692,0.0,1800000,0.037535206232456354,2.186623378220183,8,0.2508270196258897,1.193203507852913,2.1181710127855746e-05,2.467364251544875,0.0,0.2508270196258897,200,0.0,-0.5041744112968445,-0.007891595363616943,0.14608955531062046,0.0036856726678741805,0.14608955531062046,0.0,6.577300066303574e-08,0.030950045681263905,0.14239016598569632,0.0,1.0563112990368044,0.0,1.7391247884811014,1.7591372010031747,0.0,5.670135021209717,8,1.193203507852913,0.14644229036329554,0.044144708663225174,1.292790632485114e-05,0.14207358614247806,0.0,1.7391247884811014,0.14644229036329554,6.577300066303574e-08,0.1421067329276692,0.14207358614247806,1.7591372010031747,10,0.0,0.0036404933236812934,0.0,0.0,0.026729606675201346,0.0036856726678741805,0.6249601013299037,-0.5120660066604614,0.0,0.0,0.0,2.467364251544875,0.0,0.04298349557166032,1.292790632485114e-05,0.14612664156394656,2.186623378220183,0.2532664591963648,0.14239016598569632
0.301928315303069,0.6596593911220703,9,1.2807507298496237,9,0.00375074821541064,1.8022695886359141,0.0,8.076072967824588e-11,0.03543164117705904,1.0637523072985243e-05,0.03281044412782557,0.0,0.04182989297070591,0.14204987500725272,0.05170276684779929,10,1.8022695886359141,8.076072967824588e-11,9,200,0.14186319433726444,0.0,2000000,0.04182989297070591,2.5158062798289773,9,0.25824080169890334,1.3654775103399825,1.0637523072985243e-05,2.867320898028158,0.0,0.25824080169890334,200,0.0,-0.5049089789390564,-0.00851219892501831,0.14201221216019472,0.0037838134211788483,0.14201221216019472,0.0,1.8342287149788578e-07,0.03281044412782557,0.14217069191409432,0.0,1.2807507298496237,0.0,1.7852497914580148,1.8022695886359146,0.0,5.669672012329102,9,1.3654775103399825,0.14233320420316337,0.046877261251211166,1.7133260224489187e-05,0.14183219666981234,0.0,1.7852497914580148,0.14233320420316337,1.8342287149788578e-07,0.14186319433726444,0.14183219666981234,1.8022695886359146,10,0.0,0.00375074821541064,0.0,0.0,0.03543164117705904,0.0037838134211788483,0.6596593911220703,-0.5134211778640747,0.0,0.0,0.0,2.867320898028158,0.0,0.05170276684779929,1.7133260224489187e-05,0.14204987500725272,2.5158062798289773,0.301928315303069,0.14217069191409432
